"","V1","V2"
"1","CatherineMorland","GeorgeMorland"
"2","CatherineMorland","HarrietMorland"
"3","CatherineMorland","JamesMorland"
"4","CatherineMorland","LittleRichardMorland"
"5","CatherineMorland","MrAllen"
"6","CatherineMorland","MrRichardMorland"
"7","CatherineMorland","SarahMoreland"
"8","GeorgeMorland","HarrietMorland"
"9","GeorgeMorland","JamesMorland"
"10","GeorgeMorland","LittleRichardMorland"
"11","GeorgeMorland","MrAllen"
"12","GeorgeMorland","MrRichardMorland"
"13","GeorgeMorland","SarahMoreland"
"14","HarrietMorland","JamesMorland"
"15","HarrietMorland","LittleRichardMorland"
"16","HarrietMorland","MrAllen"
"17","HarrietMorland","MrRichardMorland"
"18","HarrietMorland","SarahMoreland"
"19","JamesMorland","LittleRichardMorland"
"20","JamesMorland","MrAllen"
"21","JamesMorland","MrRichardMorland"
"22","JamesMorland","SarahMoreland"
"23","LittleRichardMorland","MrAllen"
"24","LittleRichardMorland","MrRichardMorland"
"25","LittleRichardMorland","SarahMoreland"
"26","MrAllen","MrRichardMorland"
"27","MrAllen","SarahMoreland"
"28","MrRichardMorland","SarahMoreland"
"29","CatherineMorland","GeorgeParry"
"30","CatherineMorland","MrsAllen"
"31","GeorgeParry","JamesMorland"
"32","GeorgeParry","MrAllen"
"33","GeorgeParry","MrsAllen"
"34","GeorgeParry","SarahMoreland"
"35","JamesMorland","MrsAllen"
"36","MrAllen","MrsAllen"
"37","MrsAllen","SarahMoreland"
"38","CatherineMorland","MrHenryTilney"
"39","CatherineMorland","MrKing"
"40","MrAllen","MrHenryTilney"
"41","MrAllen","MrKing"
"42","MrHenryTilney","MrKing"
"43","MrHenryTilney","MrsAllen"
"44","MrKing","MrsAllen"
"45","AnneThorpe","CatherineMorland"
"46","AnneThorpe","EdwardThorpe"
"47","AnneThorpe","IsabellaThorpe"
"48","AnneThorpe","JamesMorland"
"49","AnneThorpe","JohnThorpe"
"50","AnneThorpe","MariaThorpe"
"51","AnneThorpe","MrAllen"
"52","AnneThorpe","MrHenryTilney"
"53","AnneThorpe","MrsAllen"
