"x"
"Anny"
"Artful Dodger"
"Barney"
"Bet"
"Bill Sikes"
"Blathers"
"Brittles"
"Charley Bates"
"Charlotte"
"Conkey Chickweed"
"Dick"
"Duff"
"Edward Leeford"
"Fagin"
"Grannett"
"Harry Maylie"
"Jem Spyers"
"Kags"
"Martha"
"Morris Bolter"
"Mr Brownlow"
"Mr Bumble"
"Mr Fang"
"Mr Gamfield"
"Mr Giles"
"Mr Grimwig"
"Mr Limbkins"
"Mr Lively"
"Mr Losberne"
"Mr Mann"
"Mr Slout"
"Mr Sowerberry"
"Mrs Bedwin"
"Mrs Bolter"
"Mrs Corney"
"Mrs Mann"
"Mrs Maylie"
"Mrs Sowerberry"
"Nancy"
"Ned"
"Noah Claypole"
"Oliver Twist"
"Phil Barker"
"Rose Maylie"
"Toby Crackit"
"Sally"
"Tom Chitling"
