"node_id" "tags" "dpub"
"1" "1" "Oliver Twist" "1"
"2" "2" "Mr Bumble, Mr Limbkins, Mrs Mann, Oliver Twist" "2"
"3" "3" "Mr Bumble, Mr Gamfield, Mr Limbkins, Oliver Twist" "3"
"4" "4" "Charlotte, Mr Bumble, Mr Sowerberry, Mrs Sowerberry, Oliver Twist" "4"
"5" "5" "Charlotte, Mr Bumble, Mr Sowerberry, Mrs Sowerberry, Noah Claypole, Oliver Twist" "5"
"6" "6" "Charlotte, Mr Bumble, Mr Sowerberry, Mrs Sowerberry, Noah Claypole, Oliver Twist" "6"
"7" "7" "Charlotte, Dick, Mr Bumble, Mr Sowerberry, Mrs Sowerberry, Noah Claypole, Oliver Twist" "7"
"8" "8" "Artful Dodger, Fagin, Mr Sowerberry, Oliver Twist" "8"
"9" "9" "Artful Dodger, Bet, Charley Bates, Fagin, Nancy, Oliver Twist" "9"
"10" "10" "Artful Dodger, Charley Bates, Oliver Twist" "10"
"11" "11" "Mr Brownlow, Mr Fang, Oliver Twist" "11"
"12" "12" "Artful Dodger, Charley Bates, Fagin, Mr Brownlow, Mrs Bedwin, Oliver Twist" "12"
"13" "13" "Artful Dodger, Bill Sikes, Charley Bates, Fagin, Mr Fang, Nancy, Oliver Twist" "13"
"14" "14" "Mr Brownlow, Mr Bumble, Mr Grimwig, Mrs Bedwin, Oliver Twist" "14"
"15" "15" "Barney, Bill Sikes, Dick, Fagin, Mrs Bedwin, Nancy, Oliver Twist" "15"
"16" "16" "Artful Dodger, Bet, Bill Sikes, Charley Bates, Fagin, Mr Brownlow, Nancy, Oliver Twist" "16"
"17" "17" "Dick, Mr Brownlow, Mr Bumble, Mr Grimwig, Mr Mann, Mrs Bedwin, Mrs Mann, Oliver Twist" "17"
"18" "18" "Artful Dodger, Bet, Bill Sikes, Charley Bates, Fagin, Nancy, Oliver Twist, Tom Chitling" "18"
"19" "19" "Artful Dodger, Bill Sikes, Fagin, Nancy, Ned, Oliver Twist, Toby Crackit" "19"
"20" "20" "Bill Sikes, Fagin, Nancy, Oliver Twist" "20"
"21" "21" "Bill Sikes, Ned, Oliver Twist" "21"
"22" "22" "Barney, Bill Sikes, Fagin, Oliver Twist, Toby Crackit" "22"
"23" "23" "Grannett, Mr Bumble, Mrs Corney, Oliver Twist, Sally" "23"
"24" "24" "Anny, Martha, Mrs Corney, Oliver Twist, Sally" "24"
"25" "25" "Artful Dodger, Bet, Bill Sikes, Charley Bates, Fagin, Oliver Twist, Toby Crackit, Tom Chitling" "25"
"26" "26" "Artful Dodger, Barney, Bill Sikes, Edward Leeford, Fagin, Mr Lively, Nancy, Phil Barker, Toby Crackit" "26"
"27" "27" "Charlotte, Mr Bumble, Mr Slout, Mr Sowerberry, Mrs Corney, Mrs Sowerberry, Noah Claypole, Oliver Twist, Toby Crackit" "27"
"28" "28" "Bill Sikes, Brittles, Mr Giles, Oliver Twist, Toby Crackit" "28"
"29" "29" "Brittles, Mr Giles, Mr Losberne, Mrs Maylie, Rose Maylie" "29"
"30" "30" "Brittles, Mr Giles, Mr Losberne, Mrs Maylie, Oliver Twist, Rose Maylie" "30"
"31" "31" "Blathers, Brittles, Conkey Chickweed, Duff, Jem Spyers, Mr Giles, Mr Losberne, Mrs Maylie, Oliver Twist, Rose Maylie" "31"
"32" "32" "Bill Sikes, Fagin, Mr Brownlow, Mr Giles, Mr Losberne, Mrs Bedwin, Mrs Maylie, Oliver Twist, Rose Maylie" "32"
"33" "33" "Harry Maylie, Mr Losberne, Mrs Maylie, Oliver Twist, Rose Maylie" "33"
"34" "34" "Harry Maylie, Mr Giles, Mr Losberne, Mrs Maylie, Oliver Twist, Rose Maylie" "34"
"35" "35" "Duff, Harry Maylie, Mr Giles, Mr Losberne, Mrs Maylie, Oliver Twist, Rose Maylie" "35"
"36" "36" "Harry Maylie, Mr Giles, Mr Losberne, Oliver Twist, Rose Maylie" "36"
"37" "37" "Mr Bumble, Mrs Corney, Oliver Twist, Sally" "37"
"38" "38" "Edward Leeford, Mr Bumble, Sally" "38"
"39" "39" "Artful Dodger, Bill Sikes, Charley Bates, Edward Leeford, Fagin, Nancy, Toby Crackit, Tom Chitling" "39"
"40" "40" "Bill Sikes, Edward Leeford, Fagin, Nancy, Oliver Twist, Rose Maylie" "40"
"41" "41" "Blathers, Duff, Edward Leeford, Harry Maylie, Mr Brownlow, Mr Giles, Mr Grimwig, Mr Losberne, Mrs Bedwin, Mrs Maylie, Nancy, Oliver Twist, Rose Maylie" "41"
"42" "42" "Barney, Bill Sikes, Charlotte, Fagin, Morris Bolter, Mr Sowerberry, Mrs Bolter, Nancy, Noah Claypole, Rose Maylie" "42"
"43" "43" "Artful Dodger, Charley Bates, Fagin, Morris Bolter, Noah Claypole" "43"
"44" "44" "Bill Sikes, Fagin, Nancy" "44"
"45" "45" "Barney, Fagin, Morris Bolter, Noah Claypole" "45"
"46" "46" "Edward Leeford, Fagin, Mr Brownlow, Nancy, Noah Claypole, Oliver Twist, Rose Maylie" "46"
"47" "47" "Artful Dodger, Bet, Bill Sikes, Charley Bates, Edward Leeford, Fagin, Nancy, Noah Claypole" "47"
"48" "48" "Bill Sikes, Fagin" "48"
"49" "49" "Edward Leeford, Mr Brownlow, Mr Losberne" "49"
"50" "50" "Bill Sikes, Charley Bates, Fagin, Kags, Toby Crackit, Tom Chitling" "50"
"51" "51" "Dick, Edward Leeford, Fagin, Harry Maylie, Mr Brownlow, Mr Bumble, Mr Gamfield, Mr Grimwig, Mr Losberne, Mr Sowerberry, Mrs Bedwin, Mrs Maylie, Oliver Twist, Rose Maylie, Sally" "51"
"52" "52" "Bill Sikes, Edward Leeford, Fagin, Mr Brownlow, Oliver Twist" "52"
"53" "53" "Bill Sikes, Brittles, Charley Bates, Charlotte, Edward Leeford, Fagin, Harry Maylie, Mr Brownlow, Mr Bumble, Mr Giles, Mr Grimwig, Mr Losberne, Mrs Maylie, Noah Claypole, Oliver Twist, Rose Maylie" "53"
