"id1" "id2" "label"
"Anny" "Martha" 1
"Anny" "Mrs Corney" 1
"Anny" "Oliver Twist" 1
"Anny" "Sally" 1
"Artful Dodger" "Barney" 1
"Artful Dodger" "Bet" 5
"Artful Dodger" "Bill Sikes" 8
"Artful Dodger" "Charley Bates" 10
"Artful Dodger" "Edward Leeford" 3
"Artful Dodger" "Fagin" 12
"Artful Dodger" "Morris Bolter" 1
"Artful Dodger" "Mr Brownlow" 2
"Artful Dodger" "Mr Fang" 1
"Artful Dodger" "Mr Lively" 1
"Artful Dodger" "Mr Sowerberry" 1
"Artful Dodger" "Mrs Bedwin" 1
"Artful Dodger" "Nancy" 8
"Artful Dodger" "Ned" 1
"Artful Dodger" "Noah Claypole" 2
"Artful Dodger" "Oliver Twist" 9
"Artful Dodger" "Phil Barker" 1
"Artful Dodger" "Toby Crackit" 4
"Artful Dodger" "Tom Chitling" 3
"Barney" "Bill Sikes" 4
"Barney" "Charlotte" 1
"Barney" "Dick" 1
"Barney" "Edward Leeford" 1
"Barney" "Fagin" 5
"Barney" "Morris Bolter" 2
"Barney" "Mr Lively" 1
"Barney" "Mr Sowerberry" 1
"Barney" "Mrs Bedwin" 1
"Barney" "Mrs Bolter" 1
"Barney" "Nancy" 3
"Barney" "Noah Claypole" 2
"Barney" "Oliver Twist" 2
"Barney" "Phil Barker" 1
"Barney" "Rose Maylie" 1
"Barney" "Toby Crackit" 2
"Bet" "Bill Sikes" 4
"Bet" "Charley Bates" 5
"Bet" "Edward Leeford" 1
"Bet" "Fagin" 5
"Bet" "Mr Brownlow" 1
"Bet" "Nancy" 4
"Bet" "Noah Claypole" 1
"Bet" "Oliver Twist" 4
"Bet" "Toby Crackit" 1
"Bet" "Tom Chitling" 2
"Bill Sikes" "Brittles" 2
"Bill Sikes" "Charley Bates" 8
"Bill Sikes" "Charlotte" 2
"Bill Sikes" "Dick" 1
"Bill Sikes" "Edward Leeford" 6
"Bill Sikes" "Fagin" 19
"Bill Sikes" "Harry Maylie" 1
"Bill Sikes" "Kags" 1
"Bill Sikes" "Morris Bolter" 1
"Bill Sikes" "Mr Brownlow" 4
"Bill Sikes" "Mr Bumble" 1
"Bill Sikes" "Mr Fang" 1
"Bill Sikes" "Mr Giles" 3
"Bill Sikes" "Mr Grimwig" 1
"Bill Sikes" "Mr Lively" 1
"Bill Sikes" "Mr Losberne" 2
"Bill Sikes" "Mr Sowerberry" 1
"Bill Sikes" "Mrs Bedwin" 2
"Bill Sikes" "Mrs Bolter" 1
"Bill Sikes" "Mrs Maylie" 2
"Bill Sikes" "Nancy" 12
"Bill Sikes" "Ned" 2
"Bill Sikes" "Noah Claypole" 3
"Bill Sikes" "Oliver Twist" 14
"Bill Sikes" "Phil Barker" 1
"Bill Sikes" "Rose Maylie" 4
"Bill Sikes" "Toby Crackit" 7
"Bill Sikes" "Tom Chitling" 4
"Blathers" "Brittles" 1
"Blathers" "Conkey Chickweed" 1
"Blathers" "Duff" 2
"Blathers" "Edward Leeford" 1
"Blathers" "Harry Maylie" 1
"Blathers" "Jem Spyers" 1
"Blathers" "Mr Brownlow" 1
"Blathers" "Mr Giles" 2
"Blathers" "Mr Grimwig" 1
"Blathers" "Mr Losberne" 2
"Blathers" "Mrs Bedwin" 1
"Blathers" "Mrs Maylie" 2
"Blathers" "Nancy" 1
"Blathers" "Oliver Twist" 2
"Blathers" "Rose Maylie" 2
"Brittles" "Charley Bates" 1
"Brittles" "Charlotte" 1
"Brittles" "Conkey Chickweed" 1
"Brittles" "Duff" 1
"Brittles" "Edward Leeford" 1
"Brittles" "Fagin" 1
"Brittles" "Harry Maylie" 1
"Brittles" "Jem Spyers" 1
"Brittles" "Mr Brownlow" 1
"Brittles" "Mr Bumble" 1
"Brittles" "Mr Giles" 5
"Brittles" "Mr Grimwig" 1
"Brittles" "Mr Losberne" 4
"Brittles" "Mrs Maylie" 4
"Brittles" "Noah Claypole" 1
"Brittles" "Oliver Twist" 4
"Brittles" "Rose Maylie" 4
"Brittles" "Toby Crackit" 1
"Charley Bates" "Charlotte" 1
"Charley Bates" "Edward Leeford" 3
"Charley Bates" "Fagin" 11
"Charley Bates" "Harry Maylie" 1
"Charley Bates" "Kags" 1
"Charley Bates" "Morris Bolter" 1
"Charley Bates" "Mr Brownlow" 3
"Charley Bates" "Mr Bumble" 1
"Charley Bates" "Mr Fang" 1
"Charley Bates" "Mr Giles" 1
"Charley Bates" "Mr Grimwig" 1
"Charley Bates" "Mr Losberne" 1
"Charley Bates" "Mrs Bedwin" 1
"Charley Bates" "Mrs Maylie" 1
"Charley Bates" "Nancy" 6
"Charley Bates" "Noah Claypole" 3
"Charley Bates" "Oliver Twist" 8
"Charley Bates" "Rose Maylie" 1
"Charley Bates" "Toby Crackit" 3
"Charley Bates" "Tom Chitling" 4
"Charlotte" "Dick" 1
"Charlotte" "Edward Leeford" 1
"Charlotte" "Fagin" 2
"Charlotte" "Harry Maylie" 1
"Charlotte" "Morris Bolter" 1
"Charlotte" "Mr Brownlow" 1
"Charlotte" "Mr Bumble" 6
"Charlotte" "Mr Giles" 1
"Charlotte" "Mr Grimwig" 1
"Charlotte" "Mr Losberne" 1
"Charlotte" "Mr Slout" 1
"Charlotte" "Mr Sowerberry" 6
"Charlotte" "Mrs Bolter" 1
"Charlotte" "Mrs Corney" 1
"Charlotte" "Mrs Maylie" 1
"Charlotte" "Mrs Sowerberry" 5
"Charlotte" "Nancy" 1
"Charlotte" "Noah Claypole" 6
"Charlotte" "Oliver Twist" 6
"Charlotte" "Rose Maylie" 2
"Charlotte" "Toby Crackit" 1
"Conkey Chickweed" "Duff" 1
"Conkey Chickweed" "Jem Spyers" 1
"Conkey Chickweed" "Mr Giles" 1
"Conkey Chickweed" "Mr Losberne" 1
"Conkey Chickweed" "Mrs Maylie" 1
"Conkey Chickweed" "Oliver Twist" 1
"Conkey Chickweed" "Rose Maylie" 1
"Dick" "Edward Leeford" 1
"Dick" "Fagin" 2
"Dick" "Harry Maylie" 1
"Dick" "Mr Brownlow" 2
"Dick" "Mr Bumble" 3
"Dick" "Mr Gamfield" 1
"Dick" "Mr Grimwig" 2
"Dick" "Mr Losberne" 1
"Dick" "Mr Mann" 1
"Dick" "Mr Sowerberry" 2
"Dick" "Mrs Bedwin" 3
"Dick" "Mrs Mann" 1
"Dick" "Mrs Maylie" 1
"Dick" "Mrs Sowerberry" 1
"Dick" "Nancy" 1
"Dick" "Noah Claypole" 1
"Dick" "Oliver Twist" 4
"Dick" "Rose Maylie" 1
"Dick" "Sally" 1
"Duff" "Edward Leeford" 1
"Duff" "Harry Maylie" 2
"Duff" "Jem Spyers" 1
"Duff" "Mr Brownlow" 1
"Duff" "Mr Giles" 3
"Duff" "Mr Grimwig" 1
"Duff" "Mr Losberne" 3
"Duff" "Mrs Bedwin" 1
"Duff" "Mrs Maylie" 3
"Duff" "Nancy" 1
"Duff" "Oliver Twist" 3
