"Character","Node","Type","Appearances"
"Abbey Potterson",6,"First Appearance",8
"Abbey Potterson",66,"Last Appearance",8
"Alfred Lammle",10,"First Appearance",15
"Alfred Lammle",58,"Last Appearance",15
"Analytical Chemist",2,"First Appearance",5
"Analytical Chemist",50,"Last Appearance",5
"Bella Wilfer",4,"First Appearance",26
"Bella Wilfer",67,"Last Appearance",26
"Betty Higden",16,"First Appearance",9
"Betty Higden",67,"Last Appearance",9
"Blight",8,"First Appearance",6
"Blight",66,"Last Appearance",6
"Bob Glamour",6,"First Appearance",2
"Bob Glamour",36,"Last Appearance",2
"Bob Gliddery",6,"First Appearance",4
"Bob Gliddery",36,"Last Appearance",4
"Boots Brewer",67,"Last Appearance",6
"Boots Brewer",2,"First Appearance",6
"Bradley Headstone",4,"First Appearance",16
"Bradley Headstone",67,"Last Appearance",16
"Captain Joey",29,"First Appearance",3
"Captain Joey",39,"Last Appearance",3
"Charley Hexam",3,"First Appearance",7
"Charley Hexam",57,"Last Appearance",7
"Eugene Wrayburn",67,"Last Appearance",28
"Eugene Wrayburn",2,"First Appearance",28
"Fledgeby",21,"First Appearance",11
"Fledgeby",66,"Last Appearance",11
"Gaffer Hexam",1,"First Appearance",9
"Gaffer Hexam",44,"Last Appearance",9
"George Jones",6,"First Appearance",6
"George Jones",63,"Last Appearance",6
"George Sampson",4,"First Appearance",7
"George Sampson",66,"Last Appearance",7
"Georgiana Podsnap",11,"First Appearance",9
"Georgiana Podsnap",52,"Last Appearance",9
"Gruff and Glum",54,"First Appearance",1
"Gruff and Glum",54,"Last Appearance",1
"Jack Mullins",6,"First Appearance",1
"Jack Mullins",6,"Last Appearance",1
"Jacob Kibble",3,"First Appearance",3
"Jacob Kibble",62,"Last Appearance",3
"Jenny Wren",66,"Last Appearance",15
"Jenny Wren",18,"First Appearance",15
"Job Potterson",62,"Last Appearance",2
"Job Potterson",3,"First Appearance",2
"John Harmon",3,"First Appearance",32
"John Harmon",67,"Last Appearance",32
"Johnny",16,"First Appearance",7
"Johnny",66,"Last Appearance",7
"Lady Tippins",67,"Last Appearance",9
"Lady Tippins",2,"First Appearance",9
"Lavinia Wilfer",66,"Last Appearance",10
"Lavinia Wilfer",4,"First Appearance",10
"Lizzie Hexam",1,"First Appearance",27
"Lizzie Hexam",66,"Last Appearance",27
"Lord Snigsworth",2,"First Appearance",8
"Lord Snigsworth",66,"Last Appearance",8
"Mary Anne",18,"First Appearance",3
"Mary Anne",57,"Last Appearance",3
"Melvin Twemlow",67,"Last Appearance",11
"Melvin Twemlow",2,"First Appearance",11
"Miss Peecher",18,"First Appearance",6
"Miss Peecher",65,"Last Appearance",6
"Mortimer Lightwood",2,"First Appearance",25
"Mortimer Lightwood",67,"Last Appearance",25
"Mr Boffin",5,"First Appearance",32
"Mr Boffin",67,"Last Appearance",32
"Mr Dolls",59,"Last Appearance",7
"Mr Dolls",19,"First Appearance",7
"Mr Grompus",11,"Last Appearance",1
"Mr Grompus",11,"First Appearance",1
"Mr Inspector",3,"First Appearance",6
"Mr Inspector",66,"Last Appearance",6
"Mr Podsnap",2,"First Appearance",9
"Mr Podsnap",50,"Last Appearance",9
"Mr Riah",66,"Last Appearance",13
"Mr Riah",22,"First Appearance",13
"Mr Veneering",67,"Last Appearance",14
"Mr Veneering",2,"First Appearance",14
"Mr Wilfer",4,"First Appearance",17
"Mr Wilfer",66,"Last Appearance",17
"Mrs  Veneering",2,"First Appearance",8
"Mrs  Veneering",67,"Last Appearance",8
"Mrs Boffin",5,"First Appearance",25
"Mrs Boffin",67,"Last Appearance",25
"Mrs Goody",9,"First Appearance",1
"Mrs Goody",9,"Last Appearance",1
"Mrs Milvey",9,"First Appearance",5
"Mrs Milvey",61,"Last Appearance",5
"Mrs Podsnap",2,"First Appearance",9
"Mrs Podsnap",67,"Last Appearance",9
"Mrs Sprodgkin",61,"First Appearance",1
"Mrs Sprodgkin",61,"Last Appearance",1
"Mrs Swoshle",17,"First Appearance",1
"Mrs Swoshle",17,"Last Appearance",1
"Mrs Wilfer",66,"Last Appearance",10
"Mrs Wilfer",4,"First Appearance",10
"MrVenus",7,"First Appearance",7
"MrVenus",64,"Last Appearance",7
"Pleasant Riderhood",29,"First Appearance",6
"Pleasant Riderhood",64,"Last Appearance",6
"Poddles",16,"First Appearance",1
"Poddles",16,"Last Appearance",1
"Reverend  FrankMilvey",65,"Last Appearance",6
"Reverend  FrankMilvey",9,"First Appearance",6
"Rogue Riderhood",6,"First Appearance",16
"Rogue Riderhood",67,"Last Appearance",16
"Silas Wegg",5,"First Appearance",12
"Silas Wegg",64,"Last Appearance",12
"Sloppy",16,"First Appearance",9
"Sloppy",66,"Last Appearance",9
"Sophronia Akershem",10,"First Appearance",14
"Sophronia Akershem",67,"Last Appearance",14
"The Tapkins",17,"First Appearance",1
"The Tapkins",17,"Last Appearance",1
"Toddles",16,"First Appearance",1
"Toddles",16,"Last Appearance",1
"Tom Tootle",6,"First Appearance",3
"Tom Tootle",36,"Last Appearance",3
"William Williams",36,"First Appearance",1
"William Williams",36,"Last Appearance",1
