"","V1","V2"
"1","2","Eugene Wrayburn"
"2","1","Gaffer Hexam"
"3","2","Lady Tippins"
"4","1","Lizzie Hexam"
"5","2","Melvin Twemlow"
"6","2","Mortimer Lightwood"
"7","2","Mr Veneering"
"8","3","John Harmon"
"9","3","Mortimer Lightwood"
"10","3","Mr Veneering"
"11","3","Charley Hexam"
"12","3","Eugene Wrayburn"
"13","3","Gaffer Hexam"
"14","3","Lizzie Hexam"
"15","5","Silas Wegg"
"16","4","Bella Wilfer"
"17","4","Bradley Headstone"
"18","6","Eugene Wrayburn"
"19","4","John Harmon"
"20","4","Mortimer Lightwood"
"21","5","Mr Boffin"
"22","4","Mr Wilfer"
"23","5","Mrs Boffin"
"24","8","Bella Wilfer"
"25","4","George Sampson"
"26","8","John Harmon"
"27","4","Lavinia Wilfer"
"28","8","Mr Boffin"
"29","8","Mr Wilfer"
"30","8","Mrs Boffin"
"31","4","Mrs Wilfer"
"32","2","Analytical Chemist"
"33","2","Boots Brewer"
"34","8","Eugene Wrayburn"
"35","3","Lady Tippins"
"36","2","Lord Snigsworth"
"37","3","Melvin Twemlow"
"38","8","Mortimer Lightwood"
"39","2","Mr Podsnap"
"40","4","Mr Veneering"
"41","2","Mrs  Veneering"
"42","2","Mrs Podsnap"
"43","10","Alfred Lammle"
"44","10","Mr Podsnap"
"45","10","Mr Veneering"
"46","9","Mr Wilfer"
"47","10","Mrs  Veneering"
"48","10","Mrs Podsnap"
"49","10","Sophronia Akershem"
"50","6","Abbey Potterson"
"51","11","Alfred Lammle"
"52","8","Blight"
"53","10","Eugene Wrayburn"
"54","6","Gaffer Hexam"
"55","6","George Jones"
"56","10","Mortimer Lightwood"
"57","3","Mr Inspector"
"58","11","Mr Podsnap"
"59","6","Rogue Riderhood"
"60","12","Abbey Potterson"
"61","6","Bob Gliddery"
"62","12","Eugene Wrayburn"
"63","12","Gaffer Hexam"
"64","12","Mortimer Lightwood"
"65","12","Mr Inspector"
"66","12","Rogue Riderhood"
"67","13","Eugene Wrayburn"
"68","13","Gaffer Hexam"
"69","13","Mortimer Lightwood"
"70","9","Mr Boffin"
"71","13","Mr Inspector"
"72","13","Rogue Riderhood"
"73","9","Bella Wilfer"
"74","9","John Harmon"
"75","14","Mr Boffin"
"76","9","Mrs Boffin"
"77","7","Silas Wegg"
"78","15","Bella Wilfer"
"79","12","Blight"
"80","15","John Harmon"
"81","14","Mortimer Lightwood"
"82","15","Mr Boffin"
"83","11","Mr Wilfer"
"84","15","Mrs Boffin"
"85","9","Mrs Milvey"
"86","9","Mrs Wilfer"
"87","9","Reverend  FrankMilvey"
"88","16","Bella Wilfer"
"89","11","Georgiana Podsnap"
"90","16","John Harmon"
"91","10","Lady Tippins"
"92","10","Melvin Twemlow"
"93","16","Mr Boffin"
"94","11","Mr Veneering"
"95","11","Mrs  Veneering"
"96","16","Mrs Boffin"
"97","11","Mrs Podsnap"
"98","13","Abbey Potterson"
"99","8","Bradley Headstone"
"100","6","Charley Hexam"
"101","14","Eugene Wrayburn"
"102","6","Lizzie Hexam"
"103","18","Bradley Headstone"
"104","18","Eugene Wrayburn"
"105","18","Jenny Wren"
"106","18","Lizzie Hexam"
"107","14","Rogue Riderhood"
"108","10","Analytical Chemist"
"109","10","Boots Brewer"
"110","17","Lady Tippins"
"111","10","Lord Snigsworth"
"112","17","Melvin Twemlow"
"113","12","Mr Podsnap"
"114","17","Mr Veneering"
"115","17","Mrs  Veneering"
"116","17","Mrs Podsnap"
"117","12","Alfred Lammle"
"118","17","Georgiana Podsnap"
"119","20","Mr Podsnap"
"120","20","Mr Veneering"
"121","20","Mrs Podsnap"
"122","11","Sophronia Akershem"
"123","21","Alfred Lammle"
"124","21","Fledgeby"
"125","21","Georgiana Podsnap"
"126","19","Jenny Wren"
"127","19","Lizzie Hexam"
"128","20","Lord Snigsworth"
"129","21","Mr Podsnap"
"130","21","Sophronia Akershem"
"131","19","Bradley Headstone"
"132","18","Charley Hexam"
"133","19","Eugene Wrayburn"
"134","12","George Jones"
"135","20","Lady Tippins"
"136","22","Lizzie Hexam"
"137","16","Mortimer Lightwood"
"138","17","John Harmon"
"139","17","Mr Boffin"
"140","7","MrVenus"
"141","15","Silas Wegg"
"142","17","Bella Wilfer"
"143","22","Jenny Wren"
"144","24","John Harmon"
"145","9","Lavinia Wilfer"
"146","23","Mortimer Lightwood"
"147","24","Mr Boffin"
"148","21","Mr Veneering"
"149","16","Mr Wilfer"
"150","17","Mrs Boffin"
"151","16","Mrs Wilfer"
"152","25","Bella Wilfer"
"153","16","Betty Higden"
"154","25","John Harmon"
"155","16","Johnny"
"156","25","Mrs Boffin"
"157","16","Sloppy"
"158","26","Bella Wilfer"
"159","26","Betty Higden"
"160","26","John Harmon"
"161","26","Johnny"
"162","25","Mr Boffin"
"163","26","Mrs Boffin"
"164","16","Mrs Milvey"
"165","16","Reverend  FrankMilvey"
"166","24","Silas Wegg"
"167","26","Sloppy"
"168","23","Bradley Headstone"
"169","23","Charley Hexam"
"170","23","Eugene Wrayburn"
"171","25","Jenny Wren"
"172","23","Lizzie Hexam"
"173","18","Mary Anne"
"174","18","Miss Peecher"
"175","19","Mr Dolls"
"176","22","Alfred Lammle"
"177","28","Eugene Wrayburn"
"178","14","Gaffer Hexam"
"179","28","Lizzie Hexam"
"180","19","Rogue Riderhood"
"181","27","Bella Wilfer"
"182","3","Jacob Kibble"
"183","27","John Harmon"
"184","25","Lavinia Wilfer"
"185","27","Mr Boffin"
"186","25","Mr Wilfer"
"187","27","Mrs Boffin"
"188","25","Mrs Wilfer"
"189","29","Pleasant Riderhood"
"190","29","Rogue Riderhood"
"191","30","Bella Wilfer"
"192","27","Betty Higden"
"193","28","Bradley Headstone"
"194","29","Eugene Wrayburn"
"195","9","George Sampson"
"196","30","John Harmon"
"197","27","Johnny"
"198","29","Lizzie Hexam"
"199","25","Mortimer Lightwood"
"200","30","Mr Boffin"
"201","30","Mr Wilfer"
"202","30","Mrs Boffin"
"203","30","Pleasant Riderhood"
"204","30","Rogue Riderhood"
"205","27","Sloppy"
"206","31","Bradley Headstone"
"207","28","Charley Hexam"
"208","31","Eugene Wrayburn"
"209","28","Jenny Wren"
"210","31","John Harmon"
"211","31","Lizzie Hexam"
"212","28","Miss Peecher"
"213","22","Mr Riah"
"214","29","Alfred Lammle"
"215","20","Analytical Chemist"
"216","20","Boots Brewer"
"217","32","Eugene Wrayburn"
"218","22","Fledgeby"
"219","29","Gaffer Hexam"
"220","22","Georgiana Podsnap"
"221","32","John Harmon"
"222","23","Lady Tippins"
"223","32","Lizzie Hexam"
"224","22","Lord Snigsworth"
"225","20","Melvin Twemlow"
"226","31","Mortimer Lightwood"
"227","31","Mr Boffin"
"228","25","Mr Veneering"
"229","31","Mr Wilfer"
"230","20","Mrs  Veneering"
"231","31","Rogue Riderhood"
"232","22","Sophronia Akershem"
"233","33","Alfred Lammle"
"234","33","Fledgeby"
"235","33","Georgiana Podsnap"
"236","33","Lizzie Hexam"
"237","22","Mr Podsnap"
"238","32","Mr Riah"
"239","21","Mrs Podsnap"
"240","33","Sophronia Akershem"
"241","18","Abbey Potterson"
"242","13","Bob Gliddery"
"243","32","Jenny Wren"
"244","34","Lizzie Hexam"
"245","28","Mr Dolls"
"246","34","Mr Riah"
"247","33","Rogue Riderhood"
"248","6","Tom Tootle"
"249","35","Abbey Potterson"
"250","6","Bob Glamour"
"251","35","Bob Gliddery"
"252","29","Captain Joey"
"253","35","Jenny Wren"
"254","35","Mr Riah"
"255","31","Pleasant Riderhood"
"256","35","Rogue Riderhood"
"257","35","Tom Tootle"
"258","31","Bella Wilfer"
"259","31","George Sampson"
"260","33","John Harmon"
"261","30","Lavinia Wilfer"
"262","33","Mortimer Lightwood"
"263","33","Mr Boffin"
"264","33","Mr Wilfer"
"265","31","Mrs Boffin"
"266","30","Mrs Wilfer"
"267","34","Sophronia Akershem"
"268","34","Alfred Lammle"
"269","37","Bella Wilfer"
"270","34","Fledgeby"
"271","34","Georgiana Podsnap"
"272","37","John Harmon"
"273","37","Mr Boffin"
"274","37","Mr Wilfer"
"275","37","Mrs Boffin"
"276","27","Silas Wegg"
"277","37","Sophronia Akershem"
"278","36","Captain Joey"
"279","23","George Jones"
"280","38","John Harmon"
"281","38","Mr Boffin"
"282","24","MrVenus"
"283","38","Silas Wegg"
"284","38","Bella Wilfer"
"285","39","John Harmon"
"286","39","Mr Boffin"
"287","38","Mrs Boffin"
"288","39","MrVenus"
"289","36","Pleasant Riderhood"
"290","39","Silas Wegg"
"291","38","Alfred Lammle"
"292","31","Betty Higden"
"293","40","John Harmon"
"294","31","Johnny"
"295","35","Lizzie Hexam"
"296","40","Mr Boffin"
"297","40","Bella Wilfer"
"298","41","Betty Higden"
"299","41","John Harmon"
"300","41","Johnny"
"301","37","Lavinia Wilfer"
"302","41","Lizzie Hexam"
"303","41","Mr Boffin"
"304","36","Mr Riah"
"305","40","Mrs Boffin"
"306","27","Mrs Milvey"
"307","27","Reverend  FrankMilvey"
"308","31","Sloppy"
"309","32","Bradley Headstone"
"310","33","Eugene Wrayburn"
"311","36","Jenny Wren"
"312","42","Lizzie Hexam"
"313","37","Mortimer Lightwood"
"314","35","Mr Dolls"
"315","42","Mr Riah"
"316","43","Bradley Headstone"
"317","43","Eugene Wrayburn"
"318","33","Gaffer Hexam"
"319","43","Lizzie Hexam"
"320","32","Miss Peecher"
"321","43","Mortimer Lightwood"
"322","36","Rogue Riderhood"
"323","41","Alfred Lammle"
"324","38","Fledgeby"
"325","38","Georgiana Podsnap"
"326","42","John Harmon"
"327","42","Mr Boffin"
"328","43","Mr Riah"
"329","38","Sophronia Akershem"
"330","45","Fledgeby"
"331","43","Jenny Wren"
"332","44","Lizzie Hexam"
"333","33","Lord Snigsworth"
"334","33","Melvin Twemlow"
"335","45","Mr Riah"
"336","45","Alfred Lammle"
"337","45","Mr Boffin"
"338","40","MrVenus"
"339","40","Silas Wegg"
"340","42","Sloppy"
"341","45","Sophronia Akershem"
"342","42","Bella Wilfer"
"343","39","George Jones"
"344","45","John Harmon"
"345","47","Mr Boffin"
"346","38","Mr Wilfer"
"347","42","Mrs Boffin"
"348","47","Sophronia Akershem"
"349","48","Bella Wilfer"
"350","37","George Sampson"
"351","48","John Harmon"
"352","42","Lavinia Wilfer"
"353","48","Mr Boffin"
"354","33","Mr Veneering"
"355","48","Mr Wilfer"
"356","48","Mrs Boffin"
"357","37","Mrs Wilfer"
"358","47","Alfred Lammle"
"359","33","Analytical Chemist"
"360","16","Blight"
"361","33","Boots Brewer"
"362","44","Eugene Wrayburn"
"363","46","Fledgeby"
"364","33","Lady Tippins"
"365","46","Lord Snigsworth"
"366","46","Melvin Twemlow"
"367","44","Mortimer Lightwood"
"368","43","Mr Dolls"
"369","34","Mr Podsnap"
"370","46","Mr Riah"
"371","49","Mr Veneering"
"372","33","Mrs  Veneering"
"373","34","Mrs Podsnap"
"374","48","Sophronia Akershem"
"375","44","Bradley Headstone"
"376","50","Eugene Wrayburn"
"377","44","Rogue Riderhood"
"378","50","Alfred Lammle"
"379","49","Bella Wilfer"
"380","45","Georgiana Podsnap"
"381","50","Melvin Twemlow"
"382","49","Mr Boffin"
"383","49","Mr Wilfer"
"384","49","Mrs Boffin"
"385","50","Sophronia Akershem"
"386","52","Mr Boffin"
"387","52","Mrs Boffin"
"388","47","MrVenus"
"389","47","Silas Wegg"
"390","47","Sloppy"
"391","52","Bella Wilfer"
"392","49","John Harmon"
"393","49","Lavinia Wilfer"
"394","52","Mr Wilfer"
"395","49","Mrs Wilfer"
"396","54","Bella Wilfer"
"397","49","George Sampson"
"398","54","John Harmon"
"399","54","Lavinia Wilfer"
"400","46","Lizzie Hexam"
"401","53","Mr Boffin"
"402","54","Mr Wilfer"
"403","53","Mrs Boffin"
"404","54","Mrs Wilfer"
"405","51","Eugene Wrayburn"
"406","55","Lizzie Hexam"
"407","50","Mortimer Lightwood"
"408","51","Bradley Headstone"
"409","32","Charley Hexam"
"410","56","Eugene Wrayburn"
"411","28","Mary Anne"
"412","44","Miss Peecher"
"413","51","Rogue Riderhood"
"414","52","Alfred Lammle"
"415","50","Fledgeby"
"416","46","Jenny Wren"
"417","56","Lizzie Hexam"
"418","50","Mr Dolls"
"419","50","Mr Riah"
"420","50","Blight"
"421","57","Eugene Wrayburn"
"422","58","Fledgeby"
"423","58","Jenny Wren"
"424","58","Lizzie Hexam"
"425","56","Mortimer Lightwood"
"426","58","Mr Dolls"
"427","58","Mr Riah"
"428","57","Bradley Headstone"
"429","59","Eugene Wrayburn"
"430","59","Jenny Wren"
"431","59","Lizzie Hexam"
"432","59","Mortimer Lightwood"
"433","55","Bella Wilfer"
"434","60","Bradley Headstone"
"435","60","Eugene Wrayburn"
"436","60","Jenny Wren"
"437","55","John Harmon"
"438","60","Lizzie Hexam"
"439","60","Mortimer Lightwood"
"440","55","Mr Boffin"
"441","42","Mrs Milvey"
"442","42","Reverend  FrankMilvey"
"443","36","Abbey Potterson"
"444","61","Bella Wilfer"
"445","30","Jacob Kibble"
"446","3","Job Potterson"
"447","61","John Harmon"
"448","61","Mortimer Lightwood"
"449","61","Mr Boffin"
"450","14","Mr Inspector"
"451","55","Mrs Boffin"
"452","62","Bella Wilfer"
"453","48","George Jones"
"454","62","John Harmon"
"455","62","Mr Boffin"
"456","62","Mrs Boffin"
"457","53","Silas Wegg"
"458","63","Bella Wilfer"
"459","42","Betty Higden"
"460","63","John Harmon"
"461","63","Mr Boffin"
"462","63","Mrs Boffin"
"463","53","MrVenus"
"464","40","Pleasant Riderhood"
"465","63","Silas Wegg"
"466","53","Sloppy"
"467","61","Bradley Headstone"
"468","61","Eugene Wrayburn"
"469","61","Lizzie Hexam"
"470","57","Miss Peecher"
"471","62","Mortimer Lightwood"
"472","61","Reverend  FrankMilvey"
"473","57","Rogue Riderhood"
"474","62","Abbey Potterson"
"475","64","Bella Wilfer"
"476","64","Betty Higden"
"477","59","Blight"
"478","65","Eugene Wrayburn"
"479","59","Fledgeby"
"480","55","George Sampson"
"481","61","Jenny Wren"
"482","64","John Harmon"
"483","42","Johnny"
"484","55","Lavinia Wilfer"
"485","65","Lizzie Hexam"
"486","50","Lord Snigsworth"
"487","52","Melvin Twemlow"
"488","65","Mortimer Lightwood"
"489","64","Mr Boffin"
"490","62","Mr Inspector"
"491","59","Mr Riah"
"492","50","Mr Veneering"
"493","55","Mr Wilfer"
"494","64","Mrs Boffin"
"495","55","Mrs Wilfer"
"496","64","Sloppy"
"497","66","Bella Wilfer"
"498","66","Betty Higden"
"499","50","Boots Brewer"
"500","65","Bradley Headstone"
"501","66","Eugene Wrayburn"
"502","66","John Harmon"
"503","50","Lady Tippins"
"504","66","Melvin Twemlow"
"505","66","Mortimer Lightwood"
"506","66","Mr Boffin"
"507","66","Mr Veneering"
"508","50","Mrs  Veneering"
"509","66","Mrs Boffin"
"510","50","Mrs Podsnap"
"511","65","Rogue Riderhood"
"512","52","Sophronia Akershem"
