"root_node_id" "tag"
"1" "1" "Gaffer Hexam"
"2" "1" "Lizzie Hexam"
"3" "2" "Analytical Chemist"
"4" "2" "Boots Brewer"
"5" "2" "Eugene Wrayburn"
"6" "2" "Lady Tippins"
"7" "2" "Lord Snigsworth"
"8" "2" "Melvin Twemlow"
"9" "2" "Mortimer Lightwood"
"10" "2" "Mr Podsnap"
"11" "2" "Mr Veneering"
"12" "2" "Mrs  Veneering"
"13" "2" "Mrs Podsnap"
"14" "3" "Charley Hexam"
"15" "3" "Jacob Kibble"
"16" "3" "Job Potterson"
"17" "3" "John Harmon"
"18" "3" "Mr Inspector"
"19" "4" "Bella Wilfer"
"20" "4" "Bradley Headstone"
"21" "4" "George Sampson"
"22" "4" "Lavinia Wilfer"
"23" "4" "Mr Wilfer"
"24" "4" "Mrs Wilfer"
"25" "5" "Mr Boffin"
"26" "5" "Mrs Boffin"
"27" "5" "Silas Wegg"
"28" "6" "Abbey Potterson"
"29" "6" "Bob Glamour"
"30" "6" "Bob Gliddery"
"31" "6" "George Jones"
"32" "6" "Jack Mullins"
"33" "6" "Rogue Riderhood"
"34" "6" "Tom Tootle"
"35" "7" "MrVenus"
"36" "8" "Blight"
"37" "9" "Mrs Goody"
"38" "9" "Mrs Milvey"
"39" "9" "Reverend  FrankMilvey"
"40" "10" "Alfred Lammle"
"41" "10" "Sophronia Akershem"
"42" "11" "Georgiana Podsnap"
"43" "11" "Mr Grompus"
"44" "16" "Betty Higden"
"45" "16" "Johnny"
"46" "16" "Poddles"
"47" "16" "Sloppy"
"48" "16" "Toddles"
"49" "17" "Mrs Swoshle"
"50" "17" "The Tapkins"
"51" "18" "Jenny Wren"
"52" "18" "Mary Anne"
"53" "18" "Miss Peecher"
"54" "19" "Mr Dolls"
"55" "21" "Fledgeby"
"56" "22" "Mr Riah"
"57" "29" "Captain Joey"
"58" "29" "Pleasant Riderhood"
"59" "36" "William Williams"
"60" "54" "Gruff and Glum"
"61" "61" "Mrs Sprodgkin"
