"id1" "id2" "label"
"Abbey Potterson" "Alfred Lammle" 1
"Abbey Potterson" "Bella Wilfer" 2
"Abbey Potterson" "Betty Higden" 1
"Abbey Potterson" "Blight" 2
"Abbey Potterson" "Bob Glamour" 2
"Abbey Potterson" "Bob Gliddery" 4
"Abbey Potterson" "Bradley Headstone" 1
"Abbey Potterson" "Captain Joey" 1
"Abbey Potterson" "Charley Hexam" 2
"Abbey Potterson" "Eugene Wrayburn" 5
"Abbey Potterson" "Fledgeby" 1
"Abbey Potterson" "Gaffer Hexam" 3
"Abbey Potterson" "George Jones" 2
"Abbey Potterson" "George Sampson" 1
"Abbey Potterson" "Jack Mullins" 1
"Abbey Potterson" "Jacob Kibble" 1
"Abbey Potterson" "Jenny Wren" 4
"Abbey Potterson" "Job Potterson" 1
"Abbey Potterson" "John Harmon" 2
"Abbey Potterson" "Johnny" 1
"Abbey Potterson" "Lavinia Wilfer" 1
"Abbey Potterson" "Lizzie Hexam" 4
"Abbey Potterson" "Lord Snigsworth" 1
"Abbey Potterson" "Mary Anne" 1
"Abbey Potterson" "Melvin Twemlow" 1
"Abbey Potterson" "Miss Peecher" 1
"Abbey Potterson" "Mortimer Lightwood" 4
"Abbey Potterson" "Mr Boffin" 2
"Abbey Potterson" "Mr Dolls" 1
"Abbey Potterson" "Mr Inspector" 4
"Abbey Potterson" "Mr Podsnap" 1
"Abbey Potterson" "Mr Riah" 3
"Abbey Potterson" "Mr Veneering" 1
"Abbey Potterson" "Mr Wilfer" 1
"Abbey Potterson" "Mrs Boffin" 2
"Abbey Potterson" "Mrs Wilfer" 1
"Abbey Potterson" "Pleasant Riderhood" 1
"Abbey Potterson" "Rogue Riderhood" 5
"Abbey Potterson" "Sloppy" 1
"Abbey Potterson" "Tom Tootle" 3
"Abbey Potterson" "William Williams" 1
"Alfred Lammle" "Analytical Chemist" 3
"Alfred Lammle" "Bella Wilfer" 2
"Alfred Lammle" "Betty Higden" 1
"Alfred Lammle" "Blight" 2
"Alfred Lammle" "Boots Brewer" 3
"Alfred Lammle" "Captain Joey" 1
"Alfred Lammle" "Eugene Wrayburn" 5
"Alfred Lammle" "Fledgeby" 8
"Alfred Lammle" "Gaffer Hexam" 3
"Alfred Lammle" "George Jones" 1
"Alfred Lammle" "Georgiana Podsnap" 8
"Alfred Lammle" "Jenny Wren" 2
"Alfred Lammle" "John Harmon" 4
"Alfred Lammle" "Johnny" 1
"Alfred Lammle" "Lady Tippins" 3
"Alfred Lammle" "Lizzie Hexam" 6
"Alfred Lammle" "Lord Snigsworth" 4
"Alfred Lammle" "Melvin Twemlow" 4
"Alfred Lammle" "Mortimer Lightwood" 4
"Alfred Lammle" "Mr Boffin" 6
"Alfred Lammle" "Mr Dolls" 2
"Alfred Lammle" "Mr Grompus" 1
"Alfred Lammle" "Mr Inspector" 1
"Alfred Lammle" "Mr Podsnap" 7
"Alfred Lammle" "Mr Riah" 5
"Alfred Lammle" "Mr Veneering" 5
"Alfred Lammle" "Mr Wilfer" 4
"Alfred Lammle" "Mrs  Veneering" 4
"Alfred Lammle" "Mrs Boffin" 2
"Alfred Lammle" "Mrs Podsnap" 5
"Alfred Lammle" "MrVenus" 1
"Alfred Lammle" "Pleasant Riderhood" 1
"Alfred Lammle" "Rogue Riderhood" 3
"Alfred Lammle" "Silas Wegg" 2
"Alfred Lammle" "Sloppy" 1
"Alfred Lammle" "Sophronia Akershem" 11
"Analytical Chemist" "Blight" 1
"Analytical Chemist" "Boots Brewer" 5
"Analytical Chemist" "Eugene Wrayburn" 4
"Analytical Chemist" "Fledgeby" 2
"Analytical Chemist" "Gaffer Hexam" 1
"Analytical Chemist" "Georgiana Podsnap" 1
"Analytical Chemist" "John Harmon" 1
"Analytical Chemist" "Lady Tippins" 5
"Analytical Chemist" "Lizzie Hexam" 1
"Analytical Chemist" "Lord Snigsworth" 5
"Analytical Chemist" "Melvin Twemlow" 5
"Analytical Chemist" "Mortimer Lightwood" 4
"Analytical Chemist" "Mr Boffin" 1
"Analytical Chemist" "Mr Dolls" 1
"Analytical Chemist" "Mr Podsnap" 4
"Analytical Chemist" "Mr Riah" 1
"Analytical Chemist" "Mr Veneering" 5
"Analytical Chemist" "Mr Wilfer" 1
"Analytical Chemist" "Mrs  Veneering" 5
"Analytical Chemist" "Mrs Podsnap" 4
"Analytical Chemist" "Rogue Riderhood" 1
"Analytical Chemist" "Sophronia Akershem" 3
"Bella Wilfer" "Betty Higden" 8
"Bella Wilfer" "Blight" 3
"Bella Wilfer" "Boots Brewer" 1
"Bella Wilfer" "Bradley Headstone" 5
"Bella Wilfer" "Eugene Wrayburn" 5
"Bella Wilfer" "Fledgeby" 2
"Bella Wilfer" "George Jones" 2
"Bella Wilfer" "George Sampson" 7
"Bella Wilfer" "Georgiana Podsnap" 3
"Bella Wilfer" "Gruff and Glum" 1
"Bella Wilfer" "Jacob Kibble" 2
"Bella Wilfer" "Jenny Wren" 3
"Bella Wilfer" "Job Potterson" 1
"Bella Wilfer" "John Harmon" 25
