"V1","V2"
"Gaffer Hexam","Lizzie Hexam"
"Analytical Chemist","Boots Brewer"
"Analytical Chemist","Eugene Wrayburn"
"Analytical Chemist","Lady Tippins"
"Analytical Chemist","Lord Snigsworth"
"Analytical Chemist","Melvin Twemlow"
"Analytical Chemist","Mortimer Lightwood"
"Analytical Chemist","Mr Podsnap"
"Analytical Chemist","Mr Veneering"
"Analytical Chemist","Mrs  Veneering"
"Analytical Chemist","Mrs Podsnap"
"Boots Brewer","Eugene Wrayburn"
"Boots Brewer","Lady Tippins"
"Boots Brewer","Lord Snigsworth"
"Boots Brewer","Melvin Twemlow"
"Boots Brewer","Mortimer Lightwood"
"Boots Brewer","Mr Podsnap"
"Boots Brewer","Mr Veneering"
"Boots Brewer","Mrs  Veneering"
"Boots Brewer","Mrs Podsnap"
"Eugene Wrayburn","Lady Tippins"
"Eugene Wrayburn","Lord Snigsworth"
"Eugene Wrayburn","Melvin Twemlow"
"Eugene Wrayburn","Mortimer Lightwood"
"Eugene Wrayburn","Mr Podsnap"
"Eugene Wrayburn","Mr Veneering"
"Eugene Wrayburn","Mrs  Veneering"
"Eugene Wrayburn","Mrs Podsnap"
"Lady Tippins","Lord Snigsworth"
"Lady Tippins","Melvin Twemlow"
"Lady Tippins","Mortimer Lightwood"
"Lady Tippins","Mr Podsnap"
"Lady Tippins","Mr Veneering"
"Lady Tippins","Mrs  Veneering"
"Lady Tippins","Mrs Podsnap"
"Lord Snigsworth","Melvin Twemlow"
"Lord Snigsworth","Mortimer Lightwood"
"Lord Snigsworth","Mr Podsnap"
"Lord Snigsworth","Mr Veneering"
"Lord Snigsworth","Mrs  Veneering"
"Lord Snigsworth","Mrs Podsnap"
"Melvin Twemlow","Mortimer Lightwood"
"Melvin Twemlow","Mr Podsnap"
"Melvin Twemlow","Mr Veneering"
"Melvin Twemlow","Mrs  Veneering"
"Melvin Twemlow","Mrs Podsnap"
"Mortimer Lightwood","Mr Podsnap"
"Mortimer Lightwood","Mr Veneering"
"Mortimer Lightwood","Mrs  Veneering"
"Mortimer Lightwood","Mrs Podsnap"
"Mr Podsnap","Mr Veneering"
"Mr Podsnap","Mrs  Veneering"
"Mr Podsnap","Mrs Podsnap"
"Mr Veneering","Mrs  Veneering"
"Mr Veneering","Mrs Podsnap"
"Mrs  Veneering","Mrs Podsnap"
"Charley Hexam","Eugene Wrayburn"
"Charley Hexam","Gaffer Hexam"
"Charley Hexam","Jacob Kibble"
"Charley Hexam","Job Potterson"
"Charley Hexam","John Harmon"
"Charley Hexam","Lady Tippins"
"Charley Hexam","Lizzie Hexam"
"Charley Hexam","Melvin Twemlow"
"Charley Hexam","Mortimer Lightwood"
"Charley Hexam","Mr Inspector"
"Charley Hexam","Mr Veneering"
"Eugene Wrayburn","Gaffer Hexam"
"Eugene Wrayburn","Jacob Kibble"
"Eugene Wrayburn","Job Potterson"
"Eugene Wrayburn","John Harmon"
"Eugene Wrayburn","Lizzie Hexam"
"Eugene Wrayburn","Mr Inspector"
"Gaffer Hexam","Jacob Kibble"
"Gaffer Hexam","Job Potterson"
"Gaffer Hexam","John Harmon"
"Gaffer Hexam","Lady Tippins"
"Gaffer Hexam","Melvin Twemlow"
"Gaffer Hexam","Mortimer Lightwood"
"Gaffer Hexam","Mr Inspector"
"Gaffer Hexam","Mr Veneering"
"Jacob Kibble","Job Potterson"
"Jacob Kibble","John Harmon"
"Jacob Kibble","Lady Tippins"
"Jacob Kibble","Lizzie Hexam"
"Jacob Kibble","Melvin Twemlow"
"Jacob Kibble","Mortimer Lightwood"
"Jacob Kibble","Mr Inspector"
"Jacob Kibble","Mr Veneering"
"Job Potterson","John Harmon"
"Job Potterson","Lady Tippins"
"Job Potterson","Lizzie Hexam"
"Job Potterson","Melvin Twemlow"
"Job Potterson","Mortimer Lightwood"
"Job Potterson","Mr Inspector"
"Job Potterson","Mr Veneering"
"John Harmon","Lady Tippins"
"John Harmon","Lizzie Hexam"
"John Harmon","Melvin Twemlow"
"John Harmon","Mortimer Lightwood"
"John Harmon","Mr Inspector"
"John Harmon","Mr Veneering"
"Lady Tippins","Lizzie Hexam"
"Lady Tippins","Mr Inspector"
"Lizzie Hexam","Melvin Twemlow"
"Lizzie Hexam","Mortimer Lightwood"
"Lizzie Hexam","Mr Inspector"
"Lizzie Hexam","Mr Veneering"
"Melvin Twemlow","Mr Inspector"
"Mortimer Lightwood","Mr Inspector"
"Mr Inspector","Mr Veneering"
"Bella Wilfer","Bradley Headstone"
"Bella Wilfer","George Sampson"
"Bella Wilfer","John Harmon"
"Bella Wilfer","Lavinia Wilfer"
"Bella Wilfer","Mortimer Lightwood"
"Bella Wilfer","Mr Veneering"
"Bella Wilfer","Mr Wilfer"
"Bella Wilfer","Mrs Wilfer"
"Bradley Headstone","George Sampson"
"Bradley Headstone","John Harmon"
"Bradley Headstone","Lavinia Wilfer"
"Bradley Headstone","Mortimer Lightwood"
"Bradley Headstone","Mr Veneering"
"Bradley Headstone","Mr Wilfer"
"Bradley Headstone","Mrs Wilfer"
"George Sampson","John Harmon"
"George Sampson","Lavinia Wilfer"
"George Sampson","Mortimer Lightwood"
"George Sampson","Mr Veneering"
"George Sampson","Mr Wilfer"
"George Sampson","Mrs Wilfer"
"John Harmon","Lavinia Wilfer"
"John Harmon","Mr Wilfer"
"John Harmon","Mrs Wilfer"
"Lavinia Wilfer","Mortimer Lightwood"
"Lavinia Wilfer","Mr Veneering"
"Lavinia Wilfer","Mr Wilfer"
"Lavinia Wilfer","Mrs Wilfer"
"Mortimer Lightwood","Mr Wilfer"
"Mortimer Lightwood","Mrs Wilfer"
"Mr Veneering","Mr Wilfer"
"Mr Veneering","Mrs Wilfer"
"Mr Wilfer","Mrs Wilfer"
"Mr Boffin","Mrs Boffin"
"Mr Boffin","Silas Wegg"
"Mrs Boffin","Silas Wegg"
"Abbey Potterson","Bob Glamour"
"Abbey Potterson","Bob Gliddery"
"Abbey Potterson","Charley Hexam"
"Abbey Potterson","Eugene Wrayburn"
"Abbey Potterson","Gaffer Hexam"
"Abbey Potterson","George Jones"
"Abbey Potterson","Jack Mullins"
"Abbey Potterson","Lizzie Hexam"
"Abbey Potterson","Rogue Riderhood"
"Abbey Potterson","Tom Tootle"
"Bob Glamour","Bob Gliddery"
"Bob Glamour","Charley Hexam"
"Bob Glamour","Eugene Wrayburn"
"Bob Glamour","Gaffer Hexam"
"Bob Glamour","George Jones"
"Bob Glamour","Jack Mullins"
"Bob Glamour","Lizzie Hexam"
"Bob Glamour","Rogue Riderhood"
"Bob Glamour","Tom Tootle"
"Bob Gliddery","Charley Hexam"
"Bob Gliddery","Eugene Wrayburn"
"Bob Gliddery","Gaffer Hexam"
"Bob Gliddery","George Jones"
"Bob Gliddery","Jack Mullins"
"Bob Gliddery","Lizzie Hexam"
"Bob Gliddery","Rogue Riderhood"
"Bob Gliddery","Tom Tootle"
"Charley Hexam","George Jones"
"Charley Hexam","Jack Mullins"
"Charley Hexam","Rogue Riderhood"
"Charley Hexam","Tom Tootle"
"Eugene Wrayburn","George Jones"
"Eugene Wrayburn","Jack Mullins"
"Eugene Wrayburn","Rogue Riderhood"
"Eugene Wrayburn","Tom Tootle"
"Gaffer Hexam","George Jones"
"Gaffer Hexam","Jack Mullins"
"Gaffer Hexam","Rogue Riderhood"
"Gaffer Hexam","Tom Tootle"
"George Jones","Jack Mullins"
"George Jones","Lizzie Hexam"
