"Character","Node","Appearances"
"Admiral Baldwin",3,1
"Admiral Brand",18,1
"Admiral Croft",3,12
"Admiral Croft",9,12
"Admiral Croft",18,12
"Admiral Croft",19,12
"Admiral Croft",23,12
"Admiral Croft",7,12
"Admiral Croft",13,12
"Admiral Croft",4,12
"Admiral Croft",10,12
"Admiral Croft",6,12
"Admiral Croft",8,12
"Admiral Croft",5,12
"Anne Elliot",1,24
"Anne Elliot",8,24
"Anne Elliot",15,24
"Anne Elliot",6,24
"Anne Elliot",7,24
"Anne Elliot",4,24
"Anne Elliot",24,24
"Anne Elliot",22,24
"Anne Elliot",12,24
"Anne Elliot",19,24
"Anne Elliot",2,24
"Anne Elliot",13,24
"Anne Elliot",9,24
"Anne Elliot",16,24
"Anne Elliot",20,24
"Anne Elliot",23,24
"Anne Elliot",11,24
"Anne Elliot",18,24
"Anne Elliot",21,24
"Anne Elliot",3,24
"Anne Elliot",14,24
"Anne Elliot",17,24
"Anne Elliot",5,24
"Anne Elliot",10,24
"Captain Benwick",19,10
"Captain Benwick",22,10
"Captain Benwick",24,10
"Captain Benwick",18,10
"Captain Benwick",23,10
"Captain Benwick",11,10
"Captain Benwick",20,10
"Captain Benwick",13,10
"Captain Benwick",12,10
"Captain Benwick",14,10
"Captain Brigden",18,1
"Captain Frederick Wentworth",3,18
"Captain Frederick Wentworth",7,18
"Captain Frederick Wentworth",4,18
"Captain Frederick Wentworth",21,18
"Captain Frederick Wentworth",24,18
"Captain Frederick Wentworth",6,18
"Captain Frederick Wentworth",20,18
"Captain Frederick Wentworth",22,18
"Captain Frederick Wentworth",12,18
"Captain Frederick Wentworth",19,18
"Captain Frederick Wentworth",10,18
"Captain Frederick Wentworth",8,18
"Captain Frederick Wentworth",23,18
"Captain Frederick Wentworth",14,18
"Captain Frederick Wentworth",9,18
"Captain Frederick Wentworth",18,18
"Captain Frederick Wentworth",13,18
"Captain Frederick Wentworth",11,18
"Captain Harville",18,9
"Captain Harville",13,9
"Captain Harville",14,9
"Captain Harville",23,9
"Captain Harville",11,9
"Captain Harville",12,9
"Captain Harville",22,9
"Captain Harville",8,9
"Captain Harville",20,9
"Charles Hayter",10,8
"Charles Hayter",14,8
"Charles Hayter",23,8
"Charles Hayter",24,8
"Charles Hayter",13,8
"Charles Hayter",22,8
