"V1","V2"
"1","Augustus Snodgrass"
"1","Nathaniel Winkle"
"1","Samuel Pickwick"
"1","Tracy Tupman"
"2","Augustus Snodgrass"
"2","Doctor Payne"
"2","Doctor Slammer"
"2","Lieutenant Tappleton"
"2","Nathaniel Winkle"
"2","Samuel Pickwick"
"2","Tracy Tupman"
"3","Augustus Snodgrass"
"2","Colonel Bulder"
"3","Nathaniel Winkle"
"3","Samuel Pickwick"
"3","Tracy Tupman"
"4","Augustus Snodgrass"
"4","Joe"
"4","Mr Wardle"
"4","Nathaniel Winkle"
"4","Samuel Pickwick"
"4","Tracy Tupman"
"5","Augustus Snodgrass"
"4","Emily Wardle"
"4","Isabella Wardle"
"4","Mr Trundle"
"5","Mr Wardle"
"5","Nathaniel Winkle"
"5","Samuel Pickwick"
"5","Tracy Tupman"
"2","Alfred Jingle"
"6","Augustus Snodgrass"
"6","Clergyman"
"6","Isabella Wardle"
"5","Joe"
"6","Mr Wardle"
"6","Nathaniel Winkle"
"4","Rachael Wardle"
"6","Samuel Pickwick"
"6","Tracy Tupman"
"7","Alfred Jingle"
"7","Augustus Snodgrass"
"6","Emily Wardle"
"5","Emma"
"7","Isabella Wardle"
"7","Joe"
"6","Mr Trundle"
"7","Mr Wardle"
"6","Mrs Wardle"
"7","Nathaniel Winkle"
"7","Rachael Wardle"
"7","Samuel Pickwick"
"7","Tracy Tupman"
"8","Alfred Jingle"
"8","Emily Wardle"
"8","Joe"
"8","Mr Wardle"
"8","Mrs Wardle"
"8","Rachael Wardle"
"8","Samuel Pickwick"
"8","Tracy Tupman"
"9","Alfred Jingle"
"9","Mr Wardle"
"9","Rachael Wardle"
"9","Samuel Pickwick"
"8","Augustus Snodgrass"
"7","Clergyman"
"9","Emily Wardle"
"10","Mr Perker"
"8","Mr Trundle"
"10","Mr Wardle"
"9","Mrs Wardle"
"8","Nathaniel Winkle"
"10","Samuel Pickwick"
"9","Tracy Tupman"
"11","Augustus Snodgrass"
"11","Nathaniel Winkle"
"10","Sam Weller"
"11","Samuel Pickwick"
"10","Tony Weller"
"11","Tracy Tupman"
"12","Augustus Snodgrass"
"11","Mr Perker"
"12","Nathaniel Winkle"
"12","Sam Weller"
"12","Samuel Pickwick"
"12","Tony Weller"
"12","Tracy Tupman"
"13","Augustus Snodgrass"
"11","Emily Wardle"
"5","Mary"
"13","Mr Pott"
"13","Mrs Pott"
"13","Nathaniel Winkle"
"13","Samuel Pickwick"
"13","Tony Weller"
"13","Tracy Tupman"
"10","Alfred Jingle"
"14","Augustus Snodgrass"
"14","Mr Pott"
"14","Mrs Pott"
"14","Nathaniel Winkle"
"13","Sam Weller"
"14","Samuel Pickwick"
"14","Tony Weller"
"14","Tracy Tupman"
"15","Alfred Jingle"
"11","Mr Trundle"
"11","Mr Wardle"
"11","Mrs Wardle"
"15","Sam Weller"
"15","Samuel Pickwick"
"15","Tony Weller"
"16","Mr Trundle"
"16","Mr Wardle"
"15","Nathaniel Winkle"
"16","Sam Weller"
"16","Samuel Pickwick"
"16","Tony Weller"
"16","Alfred Jingle"
"15","Augustus Snodgrass"
"11","Clergyman"
"13","Horatio Fizkin"
"8","Isabella Wardle"
"12","Martha Bardell"
"15","Mr Pott"
"17","Mr Trundle"
"17","Mr Wardle"
"15","Mrs Pott"
"17","Nathaniel Winkle"
"10","Rachael Wardle"
"17","Sam Weller"
"17","Samuel Pickwick"
"17","Tony Weller"
"15","Tracy Tupman"
"18","Augustus Snodgrass"
"18","Mr Trundle"
"18","Mr Wardle"
"18","Nathaniel Winkle"
"18","Sam Weller"
"18","Samuel Pickwick"
"18","Sir Geoffrey Manning"
"18","Tony Weller"
"18","Tracy Tupman"
"18","Alfred Jingle"
"18","Dodson"
"18","Fogg"
"16","Job Trotter"
"18","Martha Bardell"
"16","Miss Smithers"
"13","Mr Perker"
"19","Sam Weller"
"19","Samuel Pickwick"
"19","Tony Weller"
"20","Jack Bamber"
"14","Mary"
"20","Mr Lowten"
"20","Samuel Pickwick"
"20","Tony Weller"
"20","Dodson"
"20","Fogg"
"10","Mrs Weller"
"20","Sam Weller"
"21","Samuel Pickwick"
"21","Tony Weller"
"19","Tracy Tupman"
"20","Job Trotter"
"22","Sam Weller"
"22","Samuel Pickwick"
"22","Tony Weller"
"19","Augustus Snodgrass"
"19","Nathaniel Winkle"
"22","Peter Magnus"
"23","Sam Weller"
"23","Samuel Pickwick"
"23","Tony Weller"
"22","Tracy Tupman"
"20","Alfred Jingle"
"24","Augustus Snodgrass"
"24","Daniel Grummer"
"24","Dubbley"
"23","Job Trotter"
"21","Mary"
"24","Mr Jinks"
"24","Mr Nupkins"
"24","Muzzle"
"24","Nathaniel Winkle"
"24","Sam Weller"
"24","Samuel Pickwick"
"24","Tony Weller"
"24","Tracy Tupman"
"25","Alfred Jingle"
"25","Augustus Snodgrass"
"22","Dodson"
"22","Fogg"
"20","Martha Bardell"
"20","Mr Perker"
"16","Mrs Wardle"
"25","Sam Weller"
"25","Samuel Pickwick"
"12","Tom Bardell"
"25","Tony Weller"
"25","Tracy Tupman"
"22","Mrs Weller"
"26","Sam Weller"
"26","Samuel Pickwick"
"26","Tony Weller"
"26","Augustus Snodgrass"
"18","Clergyman"
"14","Emily Wardle"
"8","Emma"
"18","Isabella Wardle"
"9","Joe"
"19","Mr Trundle"
"19","Mr Wardle"
"26","Mrs Wardle"
"25","Nathaniel Winkle"
"27","Sam Weller"
