"node_id" "tags" "dpub"
"1" "1" "Augustus Snodgrass, Joe Smiggers, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "1"
"2" "2" "Alfred Jingle, Augustus Snodgrass, Colonel Bulder, Doctor Payne, Doctor Slammer, Hon Snipe, Lady Clubber, Lieutenant Tappleton, Miss Bulder, Misses Clubber, Misses Smithie, Mr Smithies, Mrs Budger, Mrs Bulder, Mrs Smithe, Mrs Tomlinson, Nathaniel Winkle, Sam, Samuel Pickwick, Thomas Clubber, Tommy, Tracy Tupman" "2"
"3" "3" "Augustus Snodgrass, Doctor Payne, Doctor Slammer, Jem Hutley, Lieutenant Tappleton, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "3"
"4" "4" "Augustus Snodgrass, Colonel Bulder, Emily Wardle, Isabella Wardle, Joe, Mr Trundle, Mr Wardle, Nathaniel Winkle, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "4"
"5" "5" "Augustus Snodgrass, Emma, Jane1, Joe, Mary, Mr Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "5"
"6" "6" "Augustus Snodgrass, Clergyman, Emily Wardle, Isabella Wardle, John Edmunds, Mr Miller, Mr Trundle, Mr Wardle, Mrs Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "6"
"7" "7" "Alfred Jingle, Augustus Snodgrass, Clergyman, Isabella Wardle, Joe, Mr Dumkins, Mr Luffey, Mr Podder, Mr Staple, Mr Struggles, Mr Wardle, Nathaniel Winkle, Quanko Samba, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "7"
"8" "8" "Alfred Jingle, Augustus Snodgrass, Emily Wardle, Emma, Isabella Wardle, Joe, Mr Trundle, Mr Wardle, Mrs Wardle, Nathaniel Winkle, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "8"
"9" "9" "Alfred Jingle, Emily Wardle, Joe, Mr Wardle, Mrs Wardle, Rachael Wardle, Samuel Pickwick, Tracy Tupman" "9"
"10" "10" "Alfred Jingle, Mr Perker, Mr Wardle, Mrs Weller, Rachael Wardle, Sam Weller, Samuel Pickwick, Tony Weller" "10"
"11" "11" "Augustus Snodgrass, Clergyman, Emily Wardle, Mr Blotton, Mr Perker, Mr Trundle, Mr Wardle, Mrs Wardle, Nathaniel Winkle, Samuel Pickwick, Tracy Tupman" "11"
"12" "12" "Augustus Snodgrass, Martha Bardell, Nathaniel Winkle, Sam Weller, Samuel Pickwick, Tom Bardell, Tony Weller, Tracy Tupman" "12"
"13" "13" "Augustus Snodgrass, Hon Slumkey, Horatio Fizkin, Mr Perker, Mr Pott, Mrs Pott, Nathaniel Winkle, Sam Weller, Samuel Pickwick, Tony Weller, Tracy Tupman" "13"
"14" "14" "Augustus Snodgrass, Emily Wardle, Mary, Mr Jinkins, Mr Pott, Mrs Pott, Nathaniel Winkle, Samuel Pickwick, Tom Smart, Tony Weller, Tracy Tupman" "14"
"15" "15" "Alfred Jingle, Augustus Snodgrass, Count Smorltork, Mr Hunter, Mr Pott, Mrs Hunter, Mrs Pott, Nathaniel Winkle, Sam Weller, Samuel Pickwick, Sololomon Lucas, Tony Weller, Tracy Tupman" "15"
"16" "16" "Alfred Jingle, Job Trotter, Miss Gwynn, Miss Smithers, Miss Tomkins, Mr Trundle, Mr Wardle, Mrs Wardle, Sam Weller, Samuel Pickwick, Tony Weller" "16"
"17" "17" "Kate, Maria Lobbs, Mr Trundle, Mr Wardle, Nathaniel Pipkin, Nathaniel Winkle, Old Lobbs, Sam Weller, Samuel Pickwick, Tony Weller" "17"
