"root_node_id" "tag"
"1" "1" "Augustus Snodgrass"
"2" "1" "Joe Smiggers"
"3" "1" "Nathaniel Winkle"
"4" "1" "Samuel Pickwick"
"5" "1" "Tracy Tupman"
"6" "2" "Alfred Jingle"
"7" "2" "Colonel Bulder"
"8" "2" "Doctor Payne"
"9" "2" "Doctor Slammer"
"10" "2" "Hon Snipe"
"11" "2" "Lady Clubber"
"12" "2" "Lieutenant Tappleton"
"13" "2" "Miss Bulder"
"14" "2" "Misses Clubber"
"15" "2" "Misses Smithie"
"16" "2" "Mr Smithies"
"17" "2" "Mrs Budger"
"18" "2" "Mrs Bulder"
"19" "2" "Mrs Smithe"
"20" "2" "Mrs Tomlinson"
"21" "2" "Sam"
"22" "2" "Thomas Clubber"
"23" "2" "Tommy"
"24" "3" "Jem Hutley"
"25" "4" "Emily Wardle"
"26" "4" "Isabella Wardle"
"27" "4" "Joe"
"28" "4" "Mr Trundle"
"29" "4" "Mr Wardle"
"30" "4" "Rachael Wardle"
"31" "5" "Emma"
"32" "5" "Jane1"
"33" "5" "Mary"
"34" "6" "Clergyman"
"35" "6" "John Edmunds"
"36" "6" "Mr Miller"
"37" "6" "Mrs Wardle"
"38" "7" "Mr Dumkins"
"39" "7" "Mr Luffey"
"40" "7" "Mr Podder"
"41" "7" "Mr Staple"
"42" "7" "Mr Struggles"
"43" "7" "Quanko Samba"
"44" "10" "Mr Perker"
"45" "10" "Mrs Weller"
"46" "10" "Sam Weller"
"47" "10" "Tony Weller"
"48" "11" "Mr Blotton"
"49" "12" "Martha Bardell"
"50" "12" "Tom Bardell"
"51" "13" "Hon Slumkey"
"52" "13" "Horatio Fizkin"
"53" "13" "Mr Pott"
"54" "13" "Mrs Pott"
"55" "14" "Mr Jinkins"
"56" "14" "Tom Smart"
"57" "15" "Count Smorltork"
"58" "15" "Mr Hunter"
"59" "15" "Mrs Hunter"
"60" "15" "Sololomon Lucas"
"61" "16" "Job Trotter"
"62" "16" "Miss Gwynn"
"63" "16" "Miss Smithers"
"64" "16" "Miss Tomkins"
"65" "17" "Kate"
"66" "17" "Maria Lobbs"
"67" "17" "Nathaniel Pipkin"
"68" "17" "Old Lobbs"
"69" "18" "Dodson"
"70" "18" "Fogg"
"71" "18" "Goodwin"
"72" "18" "Sir Geoffrey Manning"
"73" "19" "Brooks"
"74" "19" "Wilkins"
"75" "20" "Bullman"
"76" "20" "Charley"
"77" "20" "Jack Bamber"
"78" "20" "Jackson"
"79" "20" "Mr Grundy"
"80" "20" "Mr Lowten"
"81" "20" "Mr Wicks"
"82" "21" "George Heyling"
"83" "22" "Peter Magnus"
"84" "24" "Daniel Grummer"
"85" "24" "Dubbley"
"86" "24" "Miss Witherfield"
"87" "24" "Mr Jinks"
"88" "24" "Mr Nupkins"
"89" "24" "Muzzle"
"90" "25" "Miss Nupkins"
"91" "25" "Mr Porkenham"
"92" "25" "Mrs Nupkins"
"93" "25" "Mrs Porkenham"
"94" "26" "Mrs Cluppins"
"95" "26" "Mrs Sanders"
"96" "27" "Mr Stiggins"
"97" "28" "Arabella Allen"
"98" "28" "Gabriel Grub"
"99" "30" "Benjamin Allen"
"100" "30" "Bob Sawyer"
"101" "31" "Mr Mallard"
"102" "31" "Mr Phunky"
"103" "31" "Mr Watty"
"104" "31" "Serjeant Snubbin"
"105" "32" "Betsy"
"106" "32" "Jack Hopkins"
"107" "32" "Mr Gunter"
"108" "32" "Mr Noddy"
"109" "32" "Mr Raddle"
"110" "32" "Mr Slasher"
"111" "32" "Mrs Raddle"
"112" "33" "Anthony Humm"
"113" "33" "Brother Mordlin"
"114" "33" "Brother Tadger"
"115" "33" "Henry Beller"
"116" "33" "Jonas Mudge"
"117" "33" "Thomas Burton"
"118" "33" "Tom Wildspark"
"119" "34" "Mr Skimpin"
"120" "34" "Mr Stareleigh"
"121" "34" "Mrs Bunkin"
"122" "34" "Mrs Mudberry"
"123" "34" "Richard Upwitch"
"124" "34" "Serjeant Buzfuz"
"125" "34" "Thomas Groffin"
"126" "35" "Angelo Cyrus Bantam"
"127" "35" "Dowager Snuphanuph"
"128" "35" "Lord Mutanhed"
"129" "35" "Miss Bolo"
"130" "35" "Misses Matinter"
"131" "35" "Mr Crawley"
"132" "35" "Mr Crushton"
"133" "35" "Mr Dowler"
"134" "35" "Mrs Dowler"
"135" "35" "Mrs Wugsby"
"136" "36" "Lud Hudibaras"
"137" "36" "Mrs Craddock"
"138" "36" "Prince Bladud"
"139" "37" "Harris"
"140" "37" "John Smauker"
"141" "37" "Mr Tuckle"
"142" "37" "Mr Whiffers"
"143" "38" "Tom Cripps"
"144" "39" "Pruffle"
"145" "40" "Crookey"
"146" "40" "Mr Ayresleigh"
"147" "40" "Mr Namby"
"148" "40" "Mr Price"
"149" "40" "Mr Smouch"
"150" "41" "Bill"
"151" "41" "Mr Mivins"
"152" "41" "Mr Smangle"
"153" "41" "Tom Roker"
"154" "42" "Chancery Prisoner"
"155" "42" "Mr Simpson"
"156" "42" "Neddy"
"157" "42" "Tom Martin"
"158" "43" "Solomon Pell"
"159" "46" "Mrs Rogers"
"160" "47" "Mr Snicks"
"161" "49" "Jack Martin"
"162" "49" "Marquess of Filletoville"
"163" "53" "Sir Thomas Blazo"
"164" "55" "Boffer"
"165" "55" "Frank Simmery"
"166" "55" "Wilkins Flasher"
