"id1" "id2" "label"
"1" "Alfred Jingle" "Arabella Allen" 3
"2" "Alfred Jingle" "Augustus Snodgrass" 9
"3" "Alfred Jingle" "Benjamin Allen" 2
"4" "Alfred Jingle" "Bob Sawyer" 2
"5" "Alfred Jingle" "Bullman" 1
"6" "Alfred Jingle" "Chancery Prisoner" 2
"7" "Alfred Jingle" "Charley" 1
"8" "Alfred Jingle" "Clergyman" 2
"9" "Alfred Jingle" "Colonel Bulder" 1
"10" "Alfred Jingle" "Count Smorltork" 1
"11" "Alfred Jingle" "Daniel Grummer" 1
"12" "Alfred Jingle" "Doctor Payne" 1
"13" "Alfred Jingle" "Doctor Slammer" 1
"14" "Alfred Jingle" "Dodson" 7
"15" "Alfred Jingle" "Dubbley" 1
"16" "Alfred Jingle" "Emily Wardle" 3
"17" "Alfred Jingle" "Emma" 1
"18" "Alfred Jingle" "Fogg" 7
"19" "Alfred Jingle" "Goodwin" 1
"20" "Alfred Jingle" "Hon Snipe" 1
"21" "Alfred Jingle" "Horatio Fizkin" 1
"22" "Alfred Jingle" "Isabella Wardle" 4
"23" "Alfred Jingle" "Jack Bamber" 1
"24" "Alfred Jingle" "Jackson" 1
"25" "Alfred Jingle" "Job Trotter" 8
"26" "Alfred Jingle" "Joe" 3
"27" "Alfred Jingle" "Lady Clubber" 1
"28" "Alfred Jingle" "Lieutenant Tappleton" 1
"29" "Alfred Jingle" "Martha Bardell" 6
"30" "Alfred Jingle" "Mary" 3
"31" "Alfred Jingle" "Miss Bulder" 1
"32" "Alfred Jingle" "Miss Gwynn" 1
"33" "Alfred Jingle" "Miss Nupkins" 1
"34" "Alfred Jingle" "Miss Smithers" 2
"35" "Alfred Jingle" "Miss Tomkins" 1
"36" "Alfred Jingle" "Misses Clubber" 1
"37" "Alfred Jingle" "Misses Smithie" 1
"38" "Alfred Jingle" "Mr Dumkins" 1
"39" "Alfred Jingle" "Mr Grundy" 1
"40" "Alfred Jingle" "Mr Hunter" 1
"41" "Alfred Jingle" "Mr Jinks" 1
"42" "Alfred Jingle" "Mr Lowten" 3
"43" "Alfred Jingle" "Mr Luffey" 1
"44" "Alfred Jingle" "Mr Mivins" 2
"45" "Alfred Jingle" "Mr Nupkins" 1
"46" "Alfred Jingle" "Mr Perker" 7
"47" "Alfred Jingle" "Mr Podder" 1
"48" "Alfred Jingle" "Mr Porkenham" 1
"49" "Alfred Jingle" "Mr Pott" 2
"50" "Alfred Jingle" "Mr Simpson" 1
"51" "Alfred Jingle" "Mr Smangle" 2
"52" "Alfred Jingle" "Mr Smithies" 1
"53" "Alfred Jingle" "Mr Snicks" 1
"54" "Alfred Jingle" "Mr Staple" 1
"55" "Alfred Jingle" "Mr Stiggins" 1
"56" "Alfred Jingle" "Mr Struggles" 1
"57" "Alfred Jingle" "Mr Trundle" 4
"58" "Alfred Jingle" "Mr Wardle" 7
"59" "Alfred Jingle" "Mr Wicks" 1
"60" "Alfred Jingle" "Mrs Budger" 1
"61" "Alfred Jingle" "Mrs Bulder" 1
"62" "Alfred Jingle" "Mrs Cluppins" 1
"63" "Alfred Jingle" "Mrs Hunter" 1
"64" "Alfred Jingle" "Mrs Nupkins" 1
