"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
1 0 0 1.6094379124341 1 5 0 NA 0
2 0 1 3.0904599236162 0.985637258686632 23 1 0.5 0
3 0 2 3.05985576013579 0.962808033934649 24 2 0.333333333333333 0
4 0 3 3.22590471774132 0.94846148451544 30 2 0.333333333333333 0
5 0 4 3.27085092313426 0.935462276467215 33 3 0.25 0
6 0 5 3.34814905198146 0.927229345274609 37 3 0.233333333333333 0.204081624746323
7 0 6 3.46584079333737 0.921472053261987 43 3 0.261904761904762 0.161157011985779
8 0 7 3.43344108962678 0.912857860261355 43 3 0.25 0.160714283585548
9 0 8 3.40680433074604 0.905775876303734 43 4 0.208333333333333 0.157777786254883
10 0 9 3.46997502030912 0.901257660555121 47 5 0.177777777777778 0.220703125
11 0 10 3.46237811739634 0.894393783128386 48 5 0.181818181818182 0.258750021457672
12 0 11 3.4851710306161 0.890887151169672 50 5 0.166666666666667 0.317148774862289
13 0 12 3.53687241231115 0.886659954270177 54 5 0.153846153846154 0.353298604488373
14 0 13 3.56236513082554 0.884982333102663 56 5 0.148351648351648 0.351165980100632
15 0 14 3.60466081857047 0.880399967269519 60 5 0.142857142857143 0.364444434642792
16 0 15 3.64972797991468 0.877574076202768 64 5 0.133333333333333 0.375
17 0 16 3.68506210910202 0.873339348232857 68 5 0.125 0.380622863769531
18 0 17 3.72030303746877 0.869907290851294 72 5 0.137254901960784 0.317176878452301
19 0 18 3.72009537704167 0.8643213558539 74 5 0.125730994152047 0.31449431180954
20 0 19 3.8168480488387 0.868561204031773 81 5 0.123684210526316 0.349253058433533
21 0 20 3.83294316433771 0.86979518078381 82 5 0.116666666666667 0.344648092985153
22 0 21 3.83927550954845 0.868842271154664 83 6 0.114718614718615 0.352972567081451
23 0 22 3.83075864382671 0.866914872889446 83 6 0.108695652173913 0.377355366945267
24 0 23 3.87387505136482 0.863040516600366 89 6 0.105072463768116 0.43772292137146
25 0 24 3.91509686434959 0.863764131435738 93 6 0.103333333333333 0.44185745716095
26 0 25 3.92351637833548 0.861577172973705 95 6 0.103076923076923 0.453218996524811
27 0 26 3.92432764436046 0.85977832534692 96 6 0.0982905982905983 0.44034868478775
28 0 27 3.92134433787669 0.855261101876713 98 6 0.101851851851852 0.378731667995453
29 0 28 3.92634212119849 0.856351138686145 98 6 0.0960591133004926 0.381574630737305
30 0 29 3.92310132870218 0.851890629501335 100 6 0.0908045977011494 0.365886867046356
31 0 30 3.94804884456699 0.85006816400766 104 6 0.089247311827957 0.418130367994308
32 0 31 4.00191520663683 0.849748283920481 111 6 0.0856854838709677 0.392179906368256
33 0 32 4.05458326763156 0.849895473458526 118 7 0.084280303030303 0.423494517803192
34 0 33 4.11251210398496 0.851749146335035 125 7 0.0837789661319073 0.424343585968018
35 0 34 4.16265187465865 0.848607277405937 135 7 0.0798319327731093 0.426925212144852
36 0 35 4.19384969110431 0.851153595711504 138 8 0.0761904761904762 0.426649332046509
37 0 36 4.21644514127003 0.850805545121442 142 8 0.0735735735735736 0.447001248598099
38 0 37 4.21987558049307 0.850293711546652 143 8 0.0725462304409673 0.451076507568359
39 0 38 4.22119735657212 0.849367391111504 144 8 0.0708502024291498 0.444580495357513
40 0 39 4.24308401130197 0.847947550168661 149 8 0.0692307692307692 0.4529749751091
41 0 40 4.25786101161933 0.846419551966312 153 8 0.0676829268292683 0.470619291067123
42 0 41 4.2789309176862 0.846266396534777 157 8 0.0667828106852497 0.467939496040344
43 0 42 4.28212071031035 0.845835126526018 158 8 0.0647840531561462 0.477061867713928
44 0 43 4.27595818070333 0.844617859577581 158 8 0.063953488372093 0.492760062217712
45 0 44 4.2746534870047 0.844360147141544 158 8 0.0646464646464646 0.48150634765625
46 0 45 4.28862945711385 0.846066385558319 159 8 0.063768115942029 0.483069360256195
47 0 46 4.28191588436776 0.843698371771033 160 8 0.0642923219241443 0.4787278175354
48 0 47 4.27829781390664 0.842985475899317 160 8 0.063386524822695 0.473103821277618
49 0 48 4.29088361579439 0.843400956573415 162 8 0.0612244897959184 0.46901524066925
50 0 49 4.28339033237312 0.841928103200718 162 8 0.0591836734693878 0.473888218402863
51 0 50 4.27848105053473 0.840963152069592 162 8 0.0580392156862745 0.472402274608612
52 0 51 4.27316466596104 0.839918182260005 162 8 0.057315233785822 0.473186463117599
53 0 52 4.27110401955501 0.838498915568836 163 8 0.0562409288824383 0.477398574352264
54 0 53 4.26286797362785 0.83688202318062 163 8 0.0559049615653389 0.480253875255585
55 0 54 4.27613863491124 0.836492341521413 166 8 0.0545454545454545 0.48995965719223
56 0 55 4.26610118004253 0.834528828445038 166 8 0.0532467532467532 0.495408207178116
57 0 56 4.2484468959651 0.831075321745034 166 8 0.0532581453634085 0.509429037570953
