"","x"
"1","AnnedeBourgh"
"2","CaptainCarter"
"3","CarolineBingley"
"4","Chamberlayne"
"5","CharlotteLucas"
"6","ColonelFitzwilliam"
"7","ColonelForster"
"8","ColonelMillar"
"9","Dawson"
"10","ElizabethBennet"
"11","Haggerston"
"12","JaneBennet"
"13","John"
"14","KittyBennet"
"15","LadyCatherinedeBourgh"
"16","LadyMariaLucas"
"17","LydiaBennet"
"18","MaryBennet"
"19","MaryKing"
"20","MasterLucas"
"21","Miss Lucas"
"22","MissAWebb"
"23","MissBWebb"
"24","MissGeorgianaDarcy"
"25","MissPope"
"26","MrBennet"
"27","MrCharlesBingley"
"28","MrCollins"
"29","MrDarcy"
"30","MrDenny"
"31","MrGardiner"
"32","MrHurst"
"33","MrJones"
"34","MrMorris"
"35","MrRobinson"
"36","MrsAnnesley"
"37","MrsBennet"
"38","MrsGardiner"
"39","MrsHarrietForster"
"40","MrsHill"
"41","MrsLong"
"42","MrsLouisaHurst"
"43","MrsNicholls"
"44","MrsReynolds"
"45","MrsYounge"
"46","MrWickham"
"47","Pratt"
"48","SirLewisdeBourgh"
"49","SirWilliamLucas"
"50","Sarah"
"51","TheHarringtons"
"52","Sally"
"53","WilliamGoulding"
"54","Richard"
