"","Character","Node","Type","Appearances"
"1","AnnedeBourgh",16,"First Appearance",7
"2","AnnedeBourgh",52,"Last Appearance",7
"3","CaptainCarter",7,"First Appearance",2
"4","CaptainCarter",9,"Last Appearance",2
"5","CarolineBingley",61,"Last Appearance",26
"6","CarolineBingley",3,"First Appearance",26
"7","Chamberlayne",39,"Last Appearance",1
"8","Chamberlayne",39,"First Appearance",1
"9","CharlotteLucas",60,"Last Appearance",32
"10","CharlotteLucas",3,"First Appearance",32
"11","ColonelFitzwilliam",30,"First Appearance",9
"12","ColonelFitzwilliam",47,"Last Appearance",9
"13","ColonelForster",50,"Last Appearance",11
"14","ColonelForster",6,"First Appearance",11
"15","ColonelMillar",41,"Last Appearance",1
"16","ColonelMillar",41,"First Appearance",1
"17","Dawson",37,"Last Appearance",1
"18","Dawson",37,"First Appearance",1
"19","ElizabethBennet",1,"First Appearance",61
"20","ElizabethBennet",61,"Last Appearance",61
"21","Haggerston",50,"Last Appearance",2
"22","Haggerston",49,"First Appearance",2
"23","JaneBennet",61,"Last Appearance",55
"24","JaneBennet",1,"First Appearance",55
"25","John",46,"Last Appearance",2
"26","John",37,"First Appearance",2
"27","KittyBennet",2,"First Appearance",24
"28","KittyBennet",61,"Last Appearance",24
"29","LadyCatherinedeBourgh",13,"First Appearance",25
"30","LadyCatherinedeBourgh",61,"Last Appearance",25
"31","LadyMariaLucas",58,"Last Appearance",15
"32","LadyMariaLucas",1,"First Appearance",15
"33","LydiaBennet",61,"Last Appearance",35
"34","LydiaBennet",1,"First Appearance",35
"35","MaryBennet",61,"Last Appearance",18
"36","MaryBennet",2,"First Appearance",18
"37","MaryKing",39,"First Appearance",1
"38","MaryKing",39,"Last Appearance",1
"39","MasterLucas",5,"Last Appearance",1
"40","MasterLucas",5,"First Appearance",1
"41","Miss Lucas",58,"Last Appearance",10
"42","Miss Lucas",3,"First Appearance",10
"43","MissAWebb",29,"Last Appearance",1
"44","MissAWebb",29,"First Appearance",1
"45","MissBWebb",29,"First Appearance",1
"46","MissBWebb",29,"Last Appearance",1
"47","MissGeorgianaDarcy",61,"Last Appearance",20
"48","MissGeorgianaDarcy",8,"First Appearance",20
"49","MissPope",29,"Last Appearance",1
"50","MissPope",29,"First Appearance",1
"51","MrBennet",49,"Last Appearance",2
"52","MrBennet",48,"First Appearance",2
"53","MrCharlesBingley",1,"First Appearance",42
"54","MrCharlesBingley",61,"Last Appearance",42
"55","MrCollins",13,"First Appearance",31
"56","MrCollins",60,"Last Appearance",31
"57","MrDarcy",61,"Last Appearance",49
"58","MrDarcy",3,"First Appearance",49
"59","MrDenny",47,"Last Appearance",7
"60","MrDenny",14,"First Appearance",7
"61","MrGardiner",61,"Last Appearance",16
"62","MrGardiner",25,"First Appearance",16
"63","MrHurst",3,"First Appearance",6
"64","MrHurst",21,"Last Appearance",6
"65","MrJones",15,"Last Appearance",3
"66","MrJones",8,"First Appearance",3
"67","MrMorris",1,"Last Appearance",1
"68","MrMorris",1,"First Appearance",1
"69","MrRobinson",5,"Last Appearance",1
"70","MrRobinson",5,"First Appearance",1
"71","MrsAnnesley",45,"First Appearance",2
"72","MrsAnnesley",54,"Last Appearance",2
"73","MrsBennet",61,"Last Appearance",40
"74","MrsBennet",2,"First Appearance",40
"75","MrsGardiner",61,"Last Appearance",17
"76","MrsGardiner",25,"First Appearance",17
"77","MrsHarrietForster",50,"Last Appearance",5
"78","MrsHarrietForster",39,"First Appearance",5
"79","MrsHill",13,"First Appearance",3
"80","MrsHill",51,"Last Appearance",3
"81","MrsLong",1,"First Appearance",6
"82","MrsLong",54,"Last Appearance",6
"83","MrsLouisaHurst",45,"Last Appearance",12
"84","MrsLouisaHurst",3,"First Appearance",12
"85","MrsNicholls",53,"Last Appearance",2
"86","MrsNicholls",11,"First Appearance",2
"87","MrsReynolds",52,"Last Appearance",3
"88","MrsReynolds",43,"First Appearance",3
"89","MrsYounge",35,"First Appearance",2
"90","MrsYounge",52,"Last Appearance",2
"91","MrWickham",61,"Last Appearance",34
"92","MrWickham",15,"First Appearance",34
"93","Pratt",47,"Last Appearance",2
"94","Pratt",39,"First Appearance",2
"95","Richard",14,"Last Appearance",1
"96","Richard",14,"First Appearance",1
"97","Sally",47,"First Appearance",1
"98","Sally",47,"Last Appearance",1
"99","Sarah",55,"Last Appearance",1
"100","Sarah",55,"First Appearance",1
"101","SirLewisdeBourgh",29,"Last Appearance",2
"102","SirLewisdeBourgh",13,"First Appearance",2
"103","SirWilliamLucas",60,"Last Appearance",21
"104","SirWilliamLucas",1,"First Appearance",21
"105","TheHarringtons",39,"First Appearance",1
"106","TheHarringtons",39,"Last Appearance",1
"107","WilliamGoulding",50,"First Appearance",3
"108","WilliamGoulding",53,"Last Appearance",3
