"V1","V2"
"1","ElizabethBennet"
"1","LydiaBennet"
"1","MrCharlesBingley"
"1","MrsLong"
"2","ElizabethBennet"
"1","JaneBennet"
"2","KittyBennet"
"1","LadyMariaLucas"
"2","LydiaBennet"
"2","MaryBennet"
"2","MrCharlesBingley"
"2","MrsBennet"
"1","SirWilliamLucas"
"3","CarolineBingley"
"3","ElizabethBennet"
"3","JaneBennet"
"3","MrCharlesBingley"
"3","MrDarcy"
"3","MrsLouisaHurst"
"4","CarolineBingley"
"3","CharlotteLucas"
"4","ElizabethBennet"
"4","JaneBennet"
"3","KittyBennet"
"3","LadyMariaLucas"
"3","LydiaBennet"
"3","MaryBennet"
"4","MrCharlesBingley"
"4","MrDarcy"
"3","MrsBennet"
"2","MrsLong"
"3","SirWilliamLucas"
"5","CarolineBingley"
"5","CharlotteLucas"
"5","ElizabethBennet"
"5","JaneBennet"
"5","LadyMariaLucas"
"5","MaryBennet"
"5","MrCharlesBingley"
"5","MrDarcy"
"4","MrsLouisaHurst"
"5","SirWilliamLucas"
"6","CarolineBingley"
"6","ColonelForster"
"6","ElizabethBennet"
"6","JaneBennet"
"5","KittyBennet"
"5","LydiaBennet"
"6","MaryBennet"
"6","MrCharlesBingley"
"6","MrDarcy"
"3","MrHurst"
"5","MrsBennet"
"6","MrsLouisaHurst"
"6","SirWilliamLucas"
"7","CarolineBingley"
"7","ElizabethBennet"
"7","JaneBennet"
"7","MrCharlesBingley"
"7","MrDarcy"
"7","MrHurst"
"7","MrsLouisaHurst"
"7","CaptainCarter"
"8","CarolineBingley"
"6","CharlotteLucas"
"7","ColonelForster"
"8","ElizabethBennet"
"8","JaneBennet"
"6","LadyMariaLucas"
"7","LydiaBennet"
"8","MrCharlesBingley"
"8","MrDarcy"
"8","MrJones"
"7","MrsBennet"
"7","SirWilliamLucas"
"9","CarolineBingley"
"9","ElizabethBennet"
"9","JaneBennet"
"8","MissGeorgianaDarcy"
"9","MrCharlesBingley"
"9","MrDarcy"
"8","MrHurst"
"9","MrsBennet"
"8","MrsLouisaHurst"
"10","CarolineBingley"
"10","ElizabethBennet"
"10","JaneBennet"
"10","MrCharlesBingley"
"10","MrDarcy"
"10","MrHurst"
"10","MrsLouisaHurst"
"11","CarolineBingley"
"9","ColonelForster"
"11","ElizabethBennet"
"11","JaneBennet"
"9","LydiaBennet"
"7","MaryBennet"
"11","MrCharlesBingley"
"11","MrDarcy"
"10","MrsBennet"
"9","CharlotteLucas"
"12","ElizabethBennet"
"12","JaneBennet"
"12","LydiaBennet"
"12","MaryBennet"
"12","MrCharlesBingley"
"12","MrsBennet"
"12","ColonelForster"
"13","ElizabethBennet"
"13","LadyCatherinedeBourgh"
"13","LydiaBennet"
"13","MrCollins"
"13","MrsBennet"
"14","ElizabethBennet"
"13","JaneBennet"
"7","KittyBennet"
"14","LadyCatherinedeBourgh"
"14","LydiaBennet"
"13","MaryBennet"
"13","MrCharlesBingley"
"14","MrCollins"
"12","MrDarcy"
"14","MrDenny"
"9","MrJones"
"14","MrsBennet"
"12","CarolineBingley"
"15","ElizabethBennet"
"15","JaneBennet"
"15","LadyCatherinedeBourgh"
"15","LydiaBennet"
"15","MrCharlesBingley"
"15","MrCollins"
"15","MrDarcy"
"15","MrDenny"
"15","MrsBennet"
"15","MrWickham"
"16","ElizabethBennet"
"16","JaneBennet"
"15","KittyBennet"
"16","LadyCatherinedeBourgh"
"16","LydiaBennet"
"15","MaryBennet"
"16","MrCharlesBingley"
"16","MrCollins"
"16","MrDarcy"
"16","MrsBennet"
"16","MrWickham"
"16","AnnedeBourgh"
"16","CarolineBingley"
"13","CharlotteLucas"
"17","ElizabethBennet"
"17","JaneBennet"
"17","LadyCatherinedeBourgh"
"9","LadyMariaLucas"
"17","LydiaBennet"
"17","MaryBennet"
"17","MrCharlesBingley"
"17","MrCollins"
"17","MrDarcy"
"16","MrDenny"
"17","MrsBennet"
"11","MrsLouisaHurst"
"17","MrWickham"
"9","SirWilliamLucas"
"18","AnnedeBourgh"
"18","ElizabethBennet"
"17","KittyBennet"
"18","LadyCatherinedeBourgh"
"18","MrCollins"
"18","MrsBennet"
"18","CharlotteLucas"
"19","ElizabethBennet"
"18","JaneBennet"
"19","KittyBennet"
"18","LydiaBennet"
"19","MrCollins"
"19","MrsBennet"
"19","AnnedeBourgh"
"18","CarolineBingley"
"20","CharlotteLucas"
"20","ElizabethBennet"
"20","JaneBennet"
"10","MissGeorgianaDarcy"
"18","MrCharlesBingley"
"20","MrCollins"
"18","MrDarcy"
"11","MrHurst"
"20","MrsBennet"
"18","MrsLouisaHurst"
"18","MrWickham"
"21","CharlotteLucas"
"21","ElizabethBennet"
"21","JaneBennet"
"20","KittyBennet"
"19","LadyCatherinedeBourgh"
"18","LadyMariaLucas"
"20","LydiaBennet"
"18","MaryBennet"
"21","MrCollins"
"21","MrsBennet"
"18","SirWilliamLucas"
"21","CarolineBingley"
"22","CharlotteLucas"
"22","ElizabethBennet"
"22","JaneBennet"
"22","KittyBennet"
"22","LadyCatherinedeBourgh"
"22","LadyMariaLucas"
"22","LydiaBennet"
"21","MissGeorgianaDarcy"
"21","MrCharlesBingley"
"22","MrCollins"
"22","MrsBennet"
"22","SirWilliamLucas"
"23","CarolineBingley"
"23","CharlotteLucas"
"23","ElizabethBennet"
"23","JaneBennet"
"23","MissGeorgianaDarcy"
"23","MrCharlesBingley"
"23","MrCollins"
"21","MrDarcy"
"23","MrsBennet"
"21","MrWickham"
"24","CarolineBingley"
"24","CharlotteLucas"
"24","ElizabethBennet"
"24","JaneBennet"
"23","LadyMariaLucas"
"24","MrCharlesBingley"
"24","MrCollins"
"24","MrDarcy"
"24","MrsBennet"
"24","MrWickham"
"25","CarolineBingley"
"25","CharlotteLucas"
"25","ElizabethBennet"
"25","JaneBennet"
"23","KittyBennet"
"23","LadyCatherinedeBourgh"
"25","LadyMariaLucas"
"23","LydiaBennet"
"3","Miss Lucas"
"24","MissGeorgianaDarcy"
"25","MrCharlesBingley"
"25","MrCollins"
"25","MrDarcy"
"25","MrGardiner"
"25","MrsBennet"
"25","MrsGardiner"
"21","MrsLouisaHurst"
"25","MrWickham"
"23","SirWilliamLucas"
"26","CarolineBingley"
"26","CharlotteLucas"
"26","ElizabethBennet"
"26","JaneBennet"
"26","LadyCatherinedeBourgh"
"26","Miss Lucas"
"26","MrCollins"
"26","MrGardiner"
"26","MrsGardiner"
"26","MrWickham"
"26","SirWilliamLucas"
"27","CharlotteLucas"
"27","ElizabethBennet"
"27","LadyCatherinedeBourgh"
"27","Miss Lucas"
"27","MrCollins"
"27","SirWilliamLucas"
"28","CharlotteLucas"
"28","ElizabethBennet"
"28","LadyCatherinedeBourgh"
"28","Miss Lucas"
"28","MrCollins"
"26","MrDarcy"
"27","MrWickham"
"13","SirLewisdeBourgh"
"28","SirWilliamLucas"
"27","CarolineBingley"
"29","CharlotteLucas"
"29","ElizabethBennet"
"27","JaneBennet"
"29","LadyCatherinedeBourgh"
"26","MrCharlesBingley"
"29","MrCollins"
"29","MrDarcy"
"29","SirWilliamLucas"
"21","AnnedeBourgh"
