"","V1","V2"
"1","ElizabethBennet","JaneBennet"
"2","ElizabethBennet","LadyMariaLucas"
"3","ElizabethBennet","LydiaBennet"
"4","ElizabethBennet","MrCharlesBingley"
"5","ElizabethBennet","MrMorris"
"6","ElizabethBennet","MrsLong"
"7","ElizabethBennet","SirWilliamLucas"
"8","JaneBennet","LadyMariaLucas"
"9","JaneBennet","LydiaBennet"
"10","JaneBennet","MrCharlesBingley"
"11","JaneBennet","MrMorris"
"12","JaneBennet","MrsLong"
"13","JaneBennet","SirWilliamLucas"
"14","LadyMariaLucas","LydiaBennet"
"15","LadyMariaLucas","MrCharlesBingley"
"16","LadyMariaLucas","MrMorris"
"17","LadyMariaLucas","MrsLong"
"18","LadyMariaLucas","SirWilliamLucas"
"19","LydiaBennet","MrCharlesBingley"
"20","LydiaBennet","MrMorris"
"21","LydiaBennet","MrsLong"
"22","LydiaBennet","SirWilliamLucas"
"23","MrCharlesBingley","MrMorris"
"24","MrCharlesBingley","MrsLong"
"25","MrCharlesBingley","SirWilliamLucas"
"26","MrMorris","MrsLong"
"27","MrMorris","SirWilliamLucas"
"28","MrsLong","SirWilliamLucas"
"29","ElizabethBennet","KittyBennet"
"30","ElizabethBennet","MaryBennet"
"31","ElizabethBennet","MrsBennet"
"32","KittyBennet","LydiaBennet"
"33","KittyBennet","MaryBennet"
"34","KittyBennet","MrCharlesBingley"
"35","KittyBennet","MrsBennet"
"36","KittyBennet","MrsLong"
"37","LydiaBennet","MaryBennet"
"38","LydiaBennet","MrsBennet"
"39","MaryBennet","MrCharlesBingley"
"40","MaryBennet","MrsBennet"
"41","MaryBennet","MrsLong"
"42","MrCharlesBingley","MrsBennet"
"43","MrsBennet","MrsLong"
"44","CarolineBingley","CharlotteLucas"
"45","CarolineBingley","ElizabethBennet"
"46","CarolineBingley","JaneBennet"
"47","CarolineBingley","KittyBennet"
"48","CarolineBingley","LadyMariaLucas"
"49","CarolineBingley","LydiaBennet"
"50","CarolineBingley","MaryBennet"
"51","CarolineBingley","Miss Lucas"
"52","CarolineBingley","MrCharlesBingley"
"53","CarolineBingley","MrDarcy"
"54","CarolineBingley","MrHurst"
"55","CarolineBingley","MrsBennet"
"56","CarolineBingley","MrsLouisaHurst"
"57","CarolineBingley","SirWilliamLucas"
"58","CharlotteLucas","ElizabethBennet"
"59","CharlotteLucas","JaneBennet"
"60","CharlotteLucas","KittyBennet"
"61","CharlotteLucas","LadyMariaLucas"
"62","CharlotteLucas","LydiaBennet"
"63","CharlotteLucas","MaryBennet"
"64","CharlotteLucas","Miss Lucas"
"65","CharlotteLucas","MrCharlesBingley"
"66","CharlotteLucas","MrDarcy"
"67","CharlotteLucas","MrHurst"
"68","CharlotteLucas","MrsBennet"
"69","CharlotteLucas","MrsLouisaHurst"
"70","CharlotteLucas","SirWilliamLucas"
"71","ElizabethBennet","Miss Lucas"
"72","ElizabethBennet","MrDarcy"
"73","ElizabethBennet","MrHurst"
"74","ElizabethBennet","MrsLouisaHurst"
"75","JaneBennet","KittyBennet"
"76","JaneBennet","MaryBennet"
"77","JaneBennet","Miss Lucas"
"78","JaneBennet","MrDarcy"
"79","JaneBennet","MrHurst"
"80","JaneBennet","MrsBennet"
"81","JaneBennet","MrsLouisaHurst"
"82","KittyBennet","LadyMariaLucas"
"83","KittyBennet","Miss Lucas"
"84","KittyBennet","MrDarcy"
"85","KittyBennet","MrHurst"
"86","KittyBennet","MrsLouisaHurst"
"87","KittyBennet","SirWilliamLucas"
"88","LadyMariaLucas","MaryBennet"
"89","LadyMariaLucas","Miss Lucas"
"90","LadyMariaLucas","MrDarcy"
"91","LadyMariaLucas","MrHurst"
"92","LadyMariaLucas","MrsBennet"
"93","LadyMariaLucas","MrsLouisaHurst"
"94","LydiaBennet","Miss Lucas"
"95","LydiaBennet","MrDarcy"
"96","LydiaBennet","MrHurst"
"97","LydiaBennet","MrsLouisaHurst"
"98","MaryBennet","Miss Lucas"
"99","MaryBennet","MrDarcy"
"100","MaryBennet","MrHurst"
"101","MaryBennet","MrsLouisaHurst"
"102","MaryBennet","SirWilliamLucas"
"103","Miss Lucas","MrCharlesBingley"
"104","Miss Lucas","MrDarcy"
"105","Miss Lucas","MrHurst"
"106","Miss Lucas","MrsBennet"
"107","Miss Lucas","MrsLouisaHurst"
"108","Miss Lucas","SirWilliamLucas"
"109","MrCharlesBingley","MrDarcy"
"110","MrCharlesBingley","MrHurst"
"111","MrCharlesBingley","MrsLouisaHurst"
"112","MrDarcy","MrHurst"
"113","MrDarcy","MrsBennet"
"114","MrDarcy","MrsLouisaHurst"
"115","MrDarcy","SirWilliamLucas"
"116","MrHurst","MrsBennet"
"117","MrHurst","MrsLouisaHurst"
"118","MrHurst","SirWilliamLucas"
"119","MrsBennet","MrsLouisaHurst"
"120","MrsBennet","SirWilliamLucas"
"121","MrsLouisaHurst","SirWilliamLucas"
"122","CarolineBingley","MasterLucas"
"123","CarolineBingley","MrRobinson"
"124","CarolineBingley","MrsLong"
"125","CharlotteLucas","MasterLucas"
"126","CharlotteLucas","MrRobinson"
"127","CharlotteLucas","MrsLong"
"128","ElizabethBennet","MasterLucas"
"129","ElizabethBennet","MrRobinson"
"130","JaneBennet","MasterLucas"
"131","JaneBennet","MrRobinson"
"132","KittyBennet","MasterLucas"
"133","KittyBennet","MrRobinson"
"134","LadyMariaLucas","MasterLucas"
"135","LadyMariaLucas","MrRobinson"
"136","LydiaBennet","MasterLucas"
"137","LydiaBennet","MrRobinson"
"138","MaryBennet","MasterLucas"
"139","MaryBennet","MrRobinson"
"140","MasterLucas","MrCharlesBingley"
"141","MasterLucas","MrDarcy"
"142","MasterLucas","MrRobinson"
"143","MasterLucas","MrsBennet"
"144","MasterLucas","MrsLong"
"145","MasterLucas","SirWilliamLucas"
"146","MrCharlesBingley","MrRobinson"
"147","MrDarcy","MrRobinson"
"148","MrDarcy","MrsLong"
"149","MrRobinson","MrsBennet"
"150","MrRobinson","MrsLong"
"151","MrRobinson","SirWilliamLucas"
"152","CarolineBingley","ColonelForster"
"153","CharlotteLucas","ColonelForster"
"154","ColonelForster","ElizabethBennet"
"155","ColonelForster","JaneBennet"
"156","ColonelForster","LadyMariaLucas"
"157","ColonelForster","MaryBennet"
"158","ColonelForster","MrCharlesBingley"
"159","ColonelForster","MrDarcy"
"160","ColonelForster","MrsLouisaHurst"
"161","ColonelForster","SirWilliamLucas"
"162","CaptainCarter","CarolineBingley"
"163","CaptainCarter","ColonelForster"
"164","CaptainCarter","ElizabethBennet"
"165","CaptainCarter","JaneBennet"
"166","CaptainCarter","KittyBennet"
"167","CaptainCarter","LydiaBennet"
"168","CaptainCarter","MaryBennet"
"169","CaptainCarter","MrCharlesBingley"
"170","CaptainCarter","MrDarcy"
"171","CaptainCarter","MrHurst"
"172","CaptainCarter","MrsBennet"
"173","CaptainCarter","MrsLouisaHurst"
"174","CaptainCarter","SirWilliamLucas"
"175","ColonelForster","KittyBennet"
"176","ColonelForster","LydiaBennet"
"177","ColonelForster","MrHurst"
"178","ColonelForster","MrsBennet"
"179","CarolineBingley","MissGeorgianaDarcy"
"180","CarolineBingley","MrJones"
"181","ElizabethBennet","MissGeorgianaDarcy"
"182","ElizabethBennet","MrJones"
"183","JaneBennet","MissGeorgianaDarcy"
"184","JaneBennet","MrJones"
"185","MissGeorgianaDarcy","MrCharlesBingley"
"186","MissGeorgianaDarcy","MrDarcy"
"187","MissGeorgianaDarcy","MrHurst"
"188","MissGeorgianaDarcy","MrJones"
"189","MissGeorgianaDarcy","MrsLouisaHurst"
"190","MrCharlesBingley","MrJones"
"191","MrDarcy","MrJones"
"192","MrHurst","MrJones"
"193","MrJones","MrsLouisaHurst"
"194","CaptainCarter","CharlotteLucas"
"195","CaptainCarter","LadyMariaLucas"
"196","CaptainCarter","MrJones"
"197","CharlotteLucas","MrJones"
"198","ColonelForster","MrJones"
"199","LadyMariaLucas","MrJones"
"200","LydiaBennet","MrJones"
"201","MrJones","MrsBennet"
"202","MrJones","SirWilliamLucas"
"203","MissGeorgianaDarcy","MrsBennet"
"204","CarolineBingley","MrsNicholls"
"205","ElizabethBennet","MrsNicholls"
"206","JaneBennet","MrsNicholls"
"207","MrCharlesBingley","MrsNicholls"
"208","MrDarcy","MrsNicholls"
"209","MrHurst","MrsNicholls"
"210","MrsLouisaHurst","MrsNicholls"
"211","CharlotteLucas","LadyCatherinedeBourgh"
"212","CharlotteLucas","MrCollins"
"213","CharlotteLucas","MrsHill"
"214","CharlotteLucas","SirLewisdeBourgh"
"215","ElizabethBennet","LadyCatherinedeBourgh"
"216","ElizabethBennet","MrCollins"
"217","ElizabethBennet","MrsHill"
"218","ElizabethBennet","SirLewisdeBourgh"
"219","JaneBennet","LadyCatherinedeBourgh"
"220","JaneBennet","MrCollins"
"221","JaneBennet","MrsHill"
"222","JaneBennet","SirLewisdeBourgh"
"223","LadyCatherinedeBourgh","LydiaBennet"
"224","LadyCatherinedeBourgh","MaryBennet"
"225","LadyCatherinedeBourgh","MrCharlesBingley"
"226","LadyCatherinedeBourgh","MrCollins"
"227","LadyCatherinedeBourgh","MrsBennet"
"228","LadyCatherinedeBourgh","MrsHill"
"229","LadyCatherinedeBourgh","SirLewisdeBourgh"
"230","LydiaBennet","MrCollins"
"231","LydiaBennet","MrsHill"
"232","LydiaBennet","SirLewisdeBourgh"
"233","MaryBennet","MrCollins"
"234","MaryBennet","MrsHill"
"235","MaryBennet","SirLewisdeBourgh"
"236","MrCharlesBingley","MrCollins"
"237","MrCharlesBingley","MrsHill"
"238","MrCharlesBingley","SirLewisdeBourgh"
"239","MrCollins","MrsBennet"
"240","MrCollins","MrsHill"
"241","MrCollins","SirLewisdeBourgh"
"242","MrsBennet","MrsHill"
"243","MrsBennet","SirLewisdeBourgh"
"244","MrsHill","SirLewisdeBourgh"
"245","ColonelForster","LadyCatherinedeBourgh"
"246","ColonelForster","MrCollins"
"247","ColonelForster","MrDenny"
"248","ColonelForster","Richard"
"249","ElizabethBennet","MrDenny"
"250","ElizabethBennet","Richard"
"251","LadyCatherinedeBourgh","MrDenny"
"252","LadyCatherinedeBourgh","Richard"
"253","LydiaBennet","MrDenny"
"254","LydiaBennet","Richard"
"255","MrCollins","MrDenny"
"256","MrCollins","Richard"
"257","MrDenny","MrsBennet"
"258","MrDenny","Richard"
"259","MrsBennet","Richard"
"260","ElizabethBennet","MrWickham"
"261","JaneBennet","MrDenny"
"262","JaneBennet","MrWickham"
"263","KittyBennet","LadyCatherinedeBourgh"
"264","KittyBennet","MrCollins"
"265","KittyBennet","MrDenny"
"266","KittyBennet","MrJones"
"267","KittyBennet","MrWickham"
"268","LadyCatherinedeBourgh","MrDarcy"
"269","LadyCatherinedeBourgh","MrJones"
"270","LadyCatherinedeBourgh","MrWickham"
"271","LydiaBennet","MrWickham"
"272","MaryBennet","MrDenny"
"273","MaryBennet","MrJones"
"274","MaryBennet","MrWickham"
"275","MrCharlesBingley","MrDenny"
"276","MrCharlesBingley","MrWickham"
"277","MrCollins","MrDarcy"
"278","MrCollins","MrJones"
"279","MrCollins","MrWickham"
"280","MrDarcy","MrDenny"
"281","MrDarcy","MrWickham"
"282","MrDenny","MrJones"
"283","MrDenny","MrWickham"
"284","MrJones","MrWickham"
"285","MrsBennet","MrWickham"
"286","AnnedeBourgh","CarolineBingley"
"287","AnnedeBourgh","ElizabethBennet"
"288","AnnedeBourgh","JaneBennet"
"289","AnnedeBourgh","LadyCatherinedeBourgh"
"290","AnnedeBourgh","LydiaBennet"
"291","AnnedeBourgh","MrCharlesBingley"
"292","AnnedeBourgh","MrCollins"
"293","AnnedeBourgh","MrDarcy"
"294","AnnedeBourgh","MrDenny"
"295","AnnedeBourgh","MrsBennet"
"296","AnnedeBourgh","MrWickham"
"297","CarolineBingley","LadyCatherinedeBourgh"
"298","CarolineBingley","MrCollins"
"299","CarolineBingley","MrDenny"
"300","CarolineBingley","MrWickham"
"301","AnnedeBourgh","CharlotteLucas"
"302","AnnedeBourgh","LadyMariaLucas"
"303","AnnedeBourgh","MaryBennet"
"304","AnnedeBourgh","MrsLouisaHurst"
"305","AnnedeBourgh","SirWilliamLucas"
"306","CharlotteLucas","MrDenny"
"307","CharlotteLucas","MrWickham"
"308","LadyCatherinedeBourgh","LadyMariaLucas"
"309","LadyCatherinedeBourgh","MrsLouisaHurst"
"310","LadyCatherinedeBourgh","SirWilliamLucas"
"311","LadyMariaLucas","MrCollins"
