"Character","Node","Appearances"
"Annamaria Middleton",21,2
"Annamaria Middleton",23,2
"Anne Steele",34,12
"Anne Steele",22,12
"Anne Steele",21,12
"Anne Steele",23,12
"Anne Steele",46,12
"Anne Steele",47,12
"Anne Steele",24,12
"Anne Steele",38,12
"Anne Steele",39,12
"Anne Steele",25,12
"Anne Steele",32,12
"Anne Steele",36,12
"Betty",25,4
"Betty",37,4
"Betty",40,4
"Betty",38,4
"Biddy Henshawe",30,1
"Cartwright",26,1
"ColonelBrandon",36,30
"ColonelBrandon",13,30
"ColonelBrandon",47,30
"ColonelBrandon",50,30
"ColonelBrandon",43,30
"ColonelBrandon",11,30
"ColonelBrandon",26,30
"ColonelBrandon",46,30
"ColonelBrandon",19,30
"ColonelBrandon",10,30
"ColonelBrandon",34,30
"ColonelBrandon",30,30
"ColonelBrandon",20,30
"ColonelBrandon",41,30
"ColonelBrandon",8,30
"ColonelBrandon",9,30
"ColonelBrandon",31,30
"ColonelBrandon",45,30
"ColonelBrandon",7,30
"ColonelBrandon",40,30
"ColonelBrandon",33,30
"ColonelBrandon",27,30
"ColonelBrandon",49,30
"ColonelBrandon",42,30
"ColonelBrandon",32,30
"ColonelBrandon",12,30
"ColonelBrandon",14,30
"ColonelBrandon",44,30
"ColonelBrandon",39,30
"ColonelBrandon",48,30
"Edward Ferrars",19,32
"Edward Ferrars",23,32
"Edward Ferrars",22,32
"Edward Ferrars",47,32
"Edward Ferrars",34,32
"Edward Ferrars",4,32
"Edward Ferrars",17,32
"Edward Ferrars",49,32
"Edward Ferrars",5,32
"Edward Ferrars",33,32
"Edward Ferrars",28,32
"Edward Ferrars",8,32
"Edward Ferrars",3,32
"Edward Ferrars",40,32
"Edward Ferrars",29,32
"Edward Ferrars",48,32
"Edward Ferrars",41,32
"Edward Ferrars",10,32
"Edward Ferrars",16,32
"Edward Ferrars",37,32
"Edward Ferrars",38,32
"Edward Ferrars",21,32
"Edward Ferrars",50,32
"Edward Ferrars",36,32
"Edward Ferrars",24,32
"Edward Ferrars",45,32
"Edward Ferrars",18,32
"Edward Ferrars",32,32
"Edward Ferrars",42,32
"Edward Ferrars",35,32
"Edward Ferrars",39,32
"Edward Ferrars",25,32
"Elinor Dashwood",1,24
"Elinor Dashwood",20,24
"Elinor Dashwood",14,24
"Elinor Dashwood",9,24
"Elinor Dashwood",11,24
"Elinor Dashwood",31,24
"Elinor Dashwood",13,24
"Elinor Dashwood",23,24
"Elinor Dashwood",40,24
"Elinor Dashwood",5,24
"Elinor Dashwood",10,24
"Elinor Dashwood",3,24
"Elinor Dashwood",21,24
"Elinor Dashwood",34,24
"Elinor Dashwood",32,24
"Elinor Dashwood",22,24
"Elinor Dashwood",18,24
"Elinor Dashwood",12,24
"Elinor Dashwood",17,24
"Elinor Dashwood",24,24
"Elinor Dashwood",38,24
"Elinor Dashwood",27,24
"Elinor Dashwood",39,24
"Elinor Dashwood",25,24
"ElizaBrandon",46,4
"ElizaBrandon",31,4
"ElizaBrandon",47,4
"ElizaBrandon",44,4
"ElizaWilliams",32,4
"ElizaWilliams",31,4
"ElizaWilliams",14,4
"ElizaWilliams",13,4
"Harry Dashwood",2,3
"Harry Dashwood",33,3
"Harry Dashwood",34,3
"John Willoughby",13,28
"John Willoughby",26,28
"John Willoughby",20,28
"John Willoughby",50,28
"John Willoughby",10,28
"John Willoughby",18,28
"John Willoughby",46,28
"John Willoughby",47,28
"John Willoughby",27,28
"John Willoughby",14,28
"John Willoughby",9,28
"John Willoughby",19,28
"John Willoughby",16,28
"John Willoughby",43,28
"John Willoughby",42,28
"John Willoughby",32,28
"John Willoughby",44,28
"John Willoughby",28,28
"John Willoughby",11,28
"John Willoughby",31,28
"John Willoughby",36,28
"John Willoughby",12,28
"John Willoughby",30,28
"John Willoughby",29,28
"John Willoughby",25,28
"John Willoughby",45,28
"John Willoughby",37,28
"John Willoughby",15,28
"Lady Mary Middleton",41,2
"Lady Mary Middleton",27,2
"Lord Morton",34,2
"Lord Morton",33,2
"LordCourtland",36,1
"Lucy Steele",24,19
"Lucy Steele",32,19
"Lucy Steele",41,19
"Lucy Steele",22,19
"Lucy Steele",34,19
"Lucy Steele",48,19
"Lucy Steele",21,19
"Lucy Steele",23,19
"Lucy Steele",38,19
"Lucy Steele",36,19
"Lucy Steele",40,19
"Lucy Steele",37,19
"Lucy Steele",50,19
"Lucy Steele",25,19
"Lucy Steele",42,19
"Lucy Steele",47,19
"Lucy Steele",46,19
"Lucy Steele",49,19
"Lucy Steele",35,19
"Marianne Dashwood",14,50
"Marianne Dashwood",34,50
"Marianne Dashwood",26,50
"Marianne Dashwood",20,50
"Marianne Dashwood",46,50
"Marianne Dashwood",27,50
"Marianne Dashwood",49,50
"Marianne Dashwood",2,50
"Marianne Dashwood",42,50
"Marianne Dashwood",41,50
"Marianne Dashwood",29,50
"Marianne Dashwood",9,50
"Marianne Dashwood",11,50
"Marianne Dashwood",38,50
"Marianne Dashwood",43,50
"Marianne Dashwood",23,50
"Marianne Dashwood",21,50
"Marianne Dashwood",1,50
"Marianne Dashwood",24,50
"Marianne Dashwood",39,50
"Marianne Dashwood",32,50
"Marianne Dashwood",17,50
"Marianne Dashwood",7,50
"Marianne Dashwood",19,50
"Marianne Dashwood",31,50
"Marianne Dashwood",36,50
"Marianne Dashwood",28,50
"Marianne Dashwood",8,50
"Marianne Dashwood",10,50
"Marianne Dashwood",25,50
"Marianne Dashwood",3,50
"Marianne Dashwood",48,50
"Marianne Dashwood",18,50
"Marianne Dashwood",44,50
"Marianne Dashwood",4,50
"Marianne Dashwood",45,50
"Marianne Dashwood",12,50
"Marianne Dashwood",47,50
"Marianne Dashwood",30,50
"Marianne Dashwood",6,50
"Marianne Dashwood",50,50
"Marianne Dashwood",22,50
"Marianne Dashwood",35,50
"Marianne Dashwood",13,50
"Marianne Dashwood",37,50
"Marianne Dashwood",40,50
"Marianne Dashwood",33,50
"Marianne Dashwood",16,50
"Marianne Dashwood",15,50
"Marianne Dashwood",5,50
"Martha Sharpe",38,1
"Miss Godby",38,1
"Miss Morton",50,7
"Miss Morton",33,7
"Miss Morton",34,7
"Miss Morton",41,7
"Miss Morton",38,7
"Miss Morton",37,7
"Miss Morton",49,7
"Miss Sophia Grey",30,3
"Miss Sophia Grey",32,3
"Miss Sophia Grey",44,3
"Miss Sparks",38,1
"Miss Walker",30,1
"Mr Jennings",11,1
"Mr John Dashwood",2,6
"Mr John Dashwood",36,6
"Mr John Dashwood",33,6
"Mr John Dashwood",41,6
"Mr John Dashwood",37,6
"Mr John Dashwood",49,6
"Mr Pratt",47,7
"Mr Pratt",23,7
"Mr Pratt",38,7
"Mr Pratt",49,7
"Mr Pratt",48,7
"Mr Pratt",22,7
"Mr Pratt",36,7
"Mr Richardson",38,1
"Mr Simpson",21,1
"Mr Thomas Palmer",21,13
"Mr Thomas Palmer",38,13
"Mr Thomas Palmer",20,13
"Mr Thomas Palmer",42,13
"Mr Thomas Palmer",26,13
"Mr Thomas Palmer",27,13
"Mr Thomas Palmer",39,13
"Mr Thomas Palmer",43,13
"Mr Thomas Palmer",44,13
"Mr Thomas Palmer",46,13
"Mr Thomas Palmer",37,13
"Mr Thomas Palmer",36,13
"Mr Thomas Palmer",19,13
"Mr. Rose",21,1
"Mrs Charlotte Palmer",39,18
"Mrs Charlotte Palmer",40,18
"Mrs Charlotte Palmer",26,18
"Mrs Charlotte Palmer",29,18
"Mrs Charlotte Palmer",42,18
"Mrs Charlotte Palmer",27,18
"Mrs Charlotte Palmer",43,18
"Mrs Charlotte Palmer",37,18
"Mrs Charlotte Palmer",36,18
"Mrs Charlotte Palmer",46,18
"Mrs Charlotte Palmer",30,18
"Mrs Charlotte Palmer",19,18
"Mrs Charlotte Palmer",25,18
"Mrs Charlotte Palmer",44,18
"Mrs Charlotte Palmer",32,18
"Mrs Charlotte Palmer",21,18
"Mrs Charlotte Palmer",35,18
"Mrs Charlotte Palmer",20,18
"Mrs Dashwood",33,36
"Mrs Dashwood",9,36
"Mrs Dashwood",41,36
"Mrs Dashwood",37,36
"Mrs Dashwood",2,36
"Mrs Dashwood",20,36
"Mrs Dashwood",4,36
"Mrs Dashwood",17,36
"Mrs Dashwood",12,36
"Mrs Dashwood",14,36
"Mrs Dashwood",48,36
"Mrs Dashwood",49,36
"Mrs Dashwood",43,36
"Mrs Dashwood",47,36
"Mrs Dashwood",7,36
"Mrs Dashwood",25,36
"Mrs Dashwood",6,36
"Mrs Dashwood",28,36
"Mrs Dashwood",8,36
"Mrs Dashwood",1,36
"Mrs Dashwood",19,36
"Mrs Dashwood",11,36
"Mrs Dashwood",35,36
"Mrs Dashwood",27,36
"Mrs Dashwood",3,36
"Mrs Dashwood",10,36
"Mrs Dashwood",34,36
"Mrs Dashwood",18,36
"Mrs Dashwood",36,36
"Mrs Dashwood",32,36
"Mrs Dashwood",15,36
"Mrs Dashwood",45,36
"Mrs Dashwood",5,36
"Mrs Dashwood",50,36
"Mrs Dashwood",16,36
"Mrs Dashwood",46,36
"Mrs Dennison",36,1
"Mrs Fanny Dashwood",24,12
"Mrs Fanny Dashwood",6,12
"Mrs Fanny Dashwood",3,12
"Mrs Fanny Dashwood",22,12
"Mrs Fanny Dashwood",33,12
"Mrs Fanny Dashwood",2,12
"Mrs Fanny Dashwood",36,12
"Mrs Fanny Dashwood",1,12
"Mrs Fanny Dashwood",50,12
"Mrs Fanny Dashwood",41,12
"Mrs Fanny Dashwood",34,12
"Mrs Fanny Dashwood",5,12
"Mrs Ferrars",24,16
"Mrs Ferrars",48,16
"Mrs Ferrars",49,16
"Mrs Ferrars",17,16
"Mrs Ferrars",34,16
"Mrs Ferrars",4,16
"Mrs Ferrars",41,16
"Mrs Ferrars",35,16
"Mrs Ferrars",33,16
"Mrs Ferrars",19,16
"Mrs Ferrars",50,16
"Mrs Ferrars",39,16
"Mrs Ferrars",37,16
"Mrs Ferrars",32,16
"Mrs Ferrars",47,16
"Mrs Ferrars",22,16
"Mrs Jennings",27,38
"Mrs Jennings",42,38
"Mrs Jennings",13,38
"Mrs Jennings",29,38
"Mrs Jennings",10,38
"Mrs Jennings",50,38
"Mrs Jennings",35,38
"Mrs Jennings",12,38
