"V1","V2"
"2","Marianne Dashwood"
"2","Mrs Dashwood"
"2","Mrs Fanny Dashwood"
"3","Elinor Dashwood"
"3","Marianne Dashwood"
"3","Mrs Dashwood"
"3","Mrs Fanny Dashwood"
"4","Edward Ferrars"
"4","Marianne Dashwood"
"4","Mrs Dashwood"
"5","Edward Ferrars"
"5","Elinor Dashwood"
"5","Marianne Dashwood"
"5","Mrs Dashwood"
"5","Mrs Fanny Dashwood"
"5","Sir John Middleton"
"6","Marianne Dashwood"
"6","Mrs Dashwood"
"6","Mrs Fanny Dashwood"
"6","Sir John Middleton"
"7","Marianne Dashwood"
"7","Mrs Dashwood"
"7","Sir John Middleton"
"8","ColonelBrandon"
"8","Edward Ferrars"
"8","Marianne Dashwood"
"8","Mrs Dashwood"
"8","Mrs Jennings"
"8","Sir John Middleton"
"9","ColonelBrandon"
"9","Elinor Dashwood"
"9","Marianne Dashwood"
"9","Mrs Dashwood"
"9","Sir John Middleton"
"10","ColonelBrandon"
"10","Edward Ferrars"
"10","Elinor Dashwood"
"10","John Willoughby"
"10","Marianne Dashwood"
"10","Mrs Dashwood"
"10","Mrs Jennings"
"10","Sir John Middleton"
"11","ColonelBrandon"
"11","Elinor Dashwood"
"11","John Willoughby"
"11","Marianne Dashwood"
"11","Mrs Dashwood"
"11","Mrs Jennings"
"11","Sir John Middleton"
"12","ColonelBrandon"
"12","Elinor Dashwood"
"12","John Willoughby"
"12","Marianne Dashwood"
"12","Mrs Dashwood"
"12","Mrs Jennings"
"12","Sir John Middleton"
"13","ColonelBrandon"
"13","Elinor Dashwood"
"13","John Willoughby"
"13","Marianne Dashwood"
"13","Mrs Jennings"
"13","Sir John Middleton"
"14","ColonelBrandon"
"14","Elinor Dashwood"
"14","ElizaWilliams"
"14","John Willoughby"
"14","Marianne Dashwood"
"14","Mrs Dashwood"
"14","Mrs Jennings"
"14","Sir John Middleton"
"15","John Willoughby"
"15","Marianne Dashwood"
"15","Mrs Dashwood"
"16","Edward Ferrars"
"16","John Willoughby"
"16","Marianne Dashwood"
"16","Mrs Dashwood"
"16","Mrs Jennings"
"16","Sir John Middleton"
"17","Edward Ferrars"
"17","Elinor Dashwood"
"17","Marianne Dashwood"
"17","Mrs Dashwood"
"17","Mrs Ferrars"
"18","Edward Ferrars"
"18","Elinor Dashwood"
"18","John Willoughby"
"18","Marianne Dashwood"
"18","Mrs Dashwood"
"18","Mrs Jennings"
"18","Sir John Middleton"
"18","The Miss Careys"
"19","ColonelBrandon"
"19","Edward Ferrars"
"19","John Willoughby"
"19","Marianne Dashwood"
"19","Mrs Dashwood"
"19","Mrs Ferrars"
"19","Mrs Jennings"
"19","Sir John Middleton"
"20","ColonelBrandon"
"20","Elinor Dashwood"
"20","John Willoughby"
"20","Marianne Dashwood"
"20","Mr Thomas Palmer"
"20","Mrs Charlotte Palmer"
"20","Mrs Dashwood"
"20","Mrs Jennings"
"20","Sir John Middleton"
"21","Edward Ferrars"
"21","Elinor Dashwood"
"21","Marianne Dashwood"
"21","Mr Thomas Palmer"
"21","Mrs Charlotte Palmer"
"21","Mrs Jennings"
"21","Sir John Middleton"
"22","Anne Steele"
"22","Edward Ferrars"
"22","Elinor Dashwood"
"22","Lucy Steele"
"22","Marianne Dashwood"
"22","Mrs Fanny Dashwood"
"22","Mrs Ferrars"
"22","Sir John Middleton"
"23","Annamaria Middleton"
"23","Anne Steele"
"23","Edward Ferrars"
"23","Elinor Dashwood"
"23","Lucy Steele"
"23","Marianne Dashwood"
"23","Mr Pratt"
"23","Sir John Middleton"
"24","Anne Steele"
"24","Edward Ferrars"
"24","Elinor Dashwood"
"24","Lucy Steele"
"24","Marianne Dashwood"
"24","Mrs Fanny Dashwood"
"24","Mrs Ferrars"
"24","Mrs Jennings"
"24","Sir John Middleton"
"25","Anne Steele"
"25","Edward Ferrars"
"25","Elinor Dashwood"
"25","John Willoughby"
"25","Lucy Steele"
"25","Marianne Dashwood"
"25","Mrs Charlotte Palmer"
"25","Mrs Dashwood"
"25","Mrs Jennings"
"25","Sir John Middleton"
