"node_id" "tags" "dpub"
"1" "Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, TheOldGentlemanDashwood" "1"
"2" "Harry Dashwood, Marianne Dashwood, Mr John Dashwood, Mrs Dashwood, Mrs Fanny Dashwood" "2"
"3" "Edward Ferrars, Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Robert Ferrars" "3"
"4" "Edward Ferrars, Marianne Dashwood, Mrs Dashwood, Mrs Ferrars, Sir John Middleton" "4"
"5" "Edward Ferrars, Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Sir John Middleton" "5"
"6" "Marianne Dashwood, Mrs Dashwood, Mrs Fanny Dashwood, Sir John Middleton" "6"
"7" "ColonelBrandon, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "7"
"8" "ColonelBrandon, Edward Ferrars, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "8"
"9" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Sir John Middleton" "9"
"10" "ColonelBrandon, Edward Ferrars, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "10"
"11" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mr Jennings, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "11"
"12" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "12"
"13" "ColonelBrandon, Elinor Dashwood, ElizaWilliams, John Willoughby, Marianne Dashwood, Mrs Jennings, Sir John Middleton, The Miss Careys" "13"
"14" "ColonelBrandon, Elinor Dashwood, ElizaWilliams, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "14"
"15" "John Willoughby, Marianne Dashwood, Mrs Dashwood" "15"
"16" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "16"
"17" "Edward Ferrars, Elinor Dashwood, Marianne Dashwood, Mrs Dashwood, Mrs Ferrars" "17"
"18" "Edward Ferrars, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings, Sir John Middleton, The Miss Careys, The Whitakers" "18"
"19" "ColonelBrandon, Edward Ferrars, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "19"
"20" "ColonelBrandon, Elinor Dashwood, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton, The Westons" "20"
"21" "Annamaria Middleton, Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mr Simpson, Mr Thomas Palmer, Mr. Rose, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "21"
"22" "Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mr Pratt, Mrs Fanny Dashwood, Mrs Ferrars, Sir John Middleton" "22"
"23" "Annamaria Middleton, Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mr Pratt, Sir John Middleton" "23"
"24" "Anne Steele, Edward Ferrars, Elinor Dashwood, Lucy Steele, Marianne Dashwood, Mrs Fanny Dashwood, Mrs Ferrars, Mrs Jennings, Sir John Middleton" "24"
"25" "Anne Steele, Betty, Edward Ferrars, Elinor Dashwood, John Willoughby, Lucy Steele, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "25"
"26" "Cartwright, ColonelBrandon, John Willoughby, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Jennings" "26"
"27" "ColonelBrandon, Elinor Dashwood, John Willoughby, Lady Mary Middleton, Marianne Dashwood, Mr Thomas Palmer, Mrs Charlotte Palmer, Mrs Dashwood, Mrs Jennings, Sir John Middleton" "27"
"28" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Dashwood, Mrs Jennings" "28"
"29" "Edward Ferrars, John Willoughby, Marianne Dashwood, Mrs Charlotte Palmer, Mrs Jennings, Sir John Middleton" "29"
