"Character","Node","Appearances"
"Abel Garland",60,19
"Abel Garland",57,19
"Abel Garland",40,19
"Abel Garland",64,19
"Abel Garland",68,19
"Abel Garland",73,19
"Abel Garland",41,19
"Abel Garland",20,19
"Abel Garland",22,19
"Abel Garland",61,19
"Abel Garland",39,19
"Abel Garland",65,19
"Abel Garland",14,19
"Abel Garland",56,19
"Abel Garland",38,19
"Abel Garland",69,19
"Abel Garland",59,19
"Abel Garland",66,19
"Abel Garland",21,19
"Barbara",68,10
"Barbara",40,10
"Barbara",38,10
"Barbara",57,10
"Barbara",39,10
"Barbara",69,10
"Barbara",63,10
"Barbara",73,10
"Barbara",22,10
"Barbara",61,10
"Becky Morgan",54,1
"Dame West",25,1
"Daniel Quilp",49,32
"Daniel Quilp",28,32
"Daniel Quilp",11,32
"Daniel Quilp",6,32
"Daniel Quilp",48,32
"Daniel Quilp",3,32
"Daniel Quilp",5,32
"Daniel Quilp",58,32
"Daniel Quilp",34,32
"Daniel Quilp",14,32
"Daniel Quilp",50,32
"Daniel Quilp",4,32
"Daniel Quilp",12,32
"Daniel Quilp",9,32
"Daniel Quilp",27,32
"Daniel Quilp",66,32
"Daniel Quilp",13,32
"Daniel Quilp",38,32
"Daniel Quilp",60,32
"Daniel Quilp",56,32
"Daniel Quilp",64,32
"Daniel Quilp",20,32
"Daniel Quilp",67,32
"Daniel Quilp",29,32
"Daniel Quilp",21,32
"Daniel Quilp",73,32
"Daniel Quilp",41,32
"Daniel Quilp",33,32
"Daniel Quilp",62,32
"Daniel Quilp",23,32
"Daniel Quilp",51,32
"Daniel Quilp",10,32
"David",54,1
"Dick Swiveller",58,28
"Dick Swiveller",23,28
"Dick Swiveller",41,28
"Dick Swiveller",13,28
"Dick Swiveller",65,28
"Dick Swiveller",33,28
"Dick Swiveller",50,28
"Dick Swiveller",64,28
"Dick Swiveller",61,28
"Dick Swiveller",34,28
"Dick Swiveller",8,28
"Dick Swiveller",3,28
"Dick Swiveller",63,28
"Dick Swiveller",37,28
"Dick Swiveller",73,28
"Dick Swiveller",7,28
"Dick Swiveller",2,28
"Dick Swiveller",38,28
"Dick Swiveller",66,28
"Dick Swiveller",36,28
"Dick Swiveller",57,28
"Dick Swiveller",35,28
