"","V1","V2"
"1","2","Little Nell"
"2","2","Nell Trent"
"3","2","Nell's Grandfather"
"4","3","Dick Swiveller"
"5","3","Kit Nubbles"
"6","3","Little Nell"
"7","3","Nell Trent"
"8","3","Nell's Grandfather"
"9","4","Daniel Quilp"
"10","4","Mrs Betsy Quilp"
"11","5","Daniel Quilp"
"12","5","Little Nell"
"13","5","Mrs Betsy Quilp"
"14","5","Mrs Jiniwin"
"15","5","Nell Trent"
"16","6","Daniel Quilp"
"17","6","Kit Nubbles"
"18","6","Little Nell"
"19","6","Mrs Betsy Quilp"
"20","6","Nell Trent"
"21","6","Nell's Grandfather"
"22","7","Dick Swiveller"
"23","7","Frederick Trent"
"24","7","Little Nell"
"25","7","Nell Trent"
"26","7","Nell's Grandfather"
"27","8","Dick Swiveller"
"28","8","Frederick Trent"
"29","8","Sophia Wackles"
"30","9","Daniel Quilp"
"31","9","Kit Nubbles"
"32","9","Little Nell"
"33","9","Mrs Betsy Quilp"
"34","9","Nell Trent"
"35","9","Nell's Grandfather"
"36","10","Daniel Quilp"
"37","10","Kit Nubbles"
"38","10","Little Nell"
"39","10","Nell Trent"
"40","11","Daniel Quilp"
"41","11","Kit Nubbles"
"42","11","Little Nell"
"43","11","Nell Trent"
"44","11","Nell's Grandfather"
"45","12","Daniel Quilp"
"46","12","Kit Nubbles"
"47","12","Little Nell"
"48","12","Nell Trent"
"49","12","Nell's Grandfather"
"50","12","Sampson Brass"
"51","13","Daniel Quilp"
"52","13","Dick Swiveller"
"53","13","Frederick Trent"
"54","13","Kit Nubbles"
"55","13","Little Nell"
"56","13","Mrs Betsy Quilp"
"57","13","Mrs Nubbles"
"58","13","Nell Trent"
"59","13","Sampson Brass"
"60","13","Sophia Wackles"
"61","14","Daniel Quilp"
"62","14","Kit Nubbles"
"63","14","Little Nell"
"64","14","Nell Trent"
"65","14","The Bachelor"
"66","15","Kit Nubbles"
"67","15","Little Nell"
"68","15","Nell Trent"
"69","15","Nell's Grandfather"
"70","16","Little Nell"
"71","16","Nell Trent"
"72","16","Nell's Grandfather"
"73","17","Little Nell"
"74","17","Nell Trent"
"75","17","Nell's Grandfather"
"76","17","Thomas Codlin"
"77","18","Little Nell"
"78","18","Mr Harris"
"79","18","Nell Trent"
"80","18","Thomas Codlin"
"81","19","Jerry"
"82","19","Little Nell"
"83","19","Mr Harris"
"84","19","Nell Trent"
"85","19","Nell's Grandfather"
"86","19","Thomas Codlin"
"87","20","Abel Garland"
"88","20","Daniel Quilp"
"89","20","Kit Nubbles"
"90","20","Little Nell"
"91","20","Mr Chuckster"
"92","20","Mr Garland"
"93","20","Mr Witherden"
"94","20","Nell Trent"
"95","20","Whisker"
"96","21","Abel Garland"
"97","21","Daniel Quilp"
"98","21","Dick Swiveller"
"99","21","Frederick Trent"
"100","21","Jacob Nubbles"
"101","21","Kit Nubbles"
"102","21","Little Nell"
"103","21","Mr Cheggs"
"104","21","Mr Garland"
"105","21","Mrs Betsy Quilp"
"106","21","Nell Trent"
"107","21","Sophia Wackles"
"108","22","Abel Garland"
"109","22","Jacob Nubbles"
"110","22","Kit Nubbles"
"111","22","Mr Garland"
"112","22","Mrs Nubbles"
"113","22","Whisker"
"114","23","Daniel Quilp"
"115","23","Dick Swiveller"
"116","23","Frederick Trent"
"117","23","Little Nell"
"118","23","Mrs Betsy Quilp"
