"","Character","Node","Type","Appearances"
"1","AnonyWomanMC",94,"First Appearance",6
"2","AnonyWomanMC",309,"Last Appearance",6
"3","AnthonyChuzzMC",21,"First Appearance",27
"4","AnthonyChuzzMC",292,"Last Appearance",27
"5","AugModdleMC",55,"First Appearance",23
"6","AugModdleMC",309,"Last Appearance",23
"7","BibMC",201,"First Appearance",1
"8","BibMC",201,"Last Appearance",1
"9","BuffumMC",203,"Last Appearance",3
"10","BuffumMC",201,"First Appearance",3
"11","BullamyMC",162,"First Appearance",4
"12","BullamyMC",288,"Last Appearance",4
"13","CaptKedgickMC",137,"First Appearance",3
"14","CaptKedgickMC",201,"Last Appearance",3
"15","CharityPeckMC",5,"First Appearance",41
"16","CharityPeckMC",309,"Last Appearance",41
"17","ChevySlymeMC",295,"Last Appearance",13
"18","ChevySlymeMC",18,"First Appearance",13
"19","ChiggleMC",199,"First Appearance",2
"20","ChiggleMC",202,"Last Appearance",2
"21","ChuffeyMC",67,"First Appearance",32
"22","ChuffeyMC",308,"Last Appearance",32
"23","CiceroMC",106,"First Appearance",2
"24","CiceroMC",107,"Last Appearance",2
"25","ColDiverMC",132,"Last Appearance",5
"26","ColDiverMC",98,"First Appearance",5
"27","ColGroperMC",201,"First Appearance",1
"28","ColGroperMC",201,"Last Appearance",1
"29","CrimpleMC",161,"First Appearance",9
"30","CrimpleMC",288,"Last Appearance",9
"31","DocDunkleMC",201,"First Appearance",2
"32","DocDunkleMC",203,"Last Appearance",2
"33","DocJoblingMC",118,"First Appearance",14
"34","DocJoblingMC",241,"Last Appearance",14
"35","GenChokeMC",193,"Last Appearance",3
"36","GenChokeMC",131,"First Appearance",3
"37","GenFladdockMC",109,"First Appearance",2
"38","GenFladdockMC",203,"Last Appearance",2
"39","GeorgeChuzzMC",22,"First Appearance",5
"40","GeorgeChuzzMC",309,"Last Appearance",5
"41","JackCoachMC",209,"First Appearance",1
"42","JackCoachMC",209,"Last Appearance",1
"43","JaneMC",188,"Last Appearance",2
"44","JaneMC",186,"First Appearance",2
"45","JeffBrickMC",99,"First Appearance",8
"46","JeffBrickMC",135,"Last Appearance",8
"47","JoddMC",201,"First Appearance",1
"48","JoddMC",201,"Last Appearance",1
"49","JonasChuzzMC",21,"First Appearance",86
"50","JonasChuzzMC",307,"Last Appearance",86
"51","LewsomeMC",294,"Last Appearance",8
"52","LewsomeMC",153,"First Appearance",8
"53","LFKettleMC",131,"First Appearance",3
"54","LFKettleMC",135,"Last Appearance",3
"55","MajChollopMC",194,"First Appearance",4
"56","MajChollopMC",200,"Last Appearance",4
"57","MajPawkinsMC",100,"First Appearance",3
"58","MajPawkinsMC",132,"Last Appearance",3
"59","MarkTapleyMC",26,"First Appearance",81
"60","MarkTapleyMC",309,"Last Appearance",81
"61","MartinJrMC",305,"Last Appearance",127
"62","MartinJrMC",15,"First Appearance",127
"63","MartinSrMC",309,"Last Appearance",58
"64","MartinSrMC",15,"First Appearance",58
"65","MaryMC",13,"First Appearance",33
"66","MaryMC",305,"Last Appearance",33
"67","MercyPeckMC",214,"First Appearance",1
"68","MercyPeckMC",214,"Last Appearance",1
"69","MissesMouldMC",151,"Last Appearance",1
"70","MissesMouldMC",151,"First Appearance",1
"71","MrBevanMC",250,"Last Appearance",12
"72","MrBevanMC",105,"First Appearance",12
"73","MrFipsMC",227,"First Appearance",8
"74","MrFipsMC",305,"Last Appearance",8
"75","MrGanderMC",54,"First Appearance",3
"76","MrGanderMC",57,"Last Appearance",3
"77","MrIzzardMC",201,"Last Appearance",1
"78","MrIzzardMC",201,"First Appearance",1
"79","MrMouldMC",294,"Last Appearance",11
"80","MrMouldMC",116,"First Appearance",11
"81","MrMrsSpottletoeMC",20,"First Appearance",8
"82","MrMrsSpottletoeMC",310,"Last Appearance",8
"83","MrPipMC",168,"First Appearance",2
"84","MrPipMC",169,"Last Appearance",2
"85","MrsGampMC",116,"First Appearance",47
"86","MrsGampMC",302,"Last Appearance",47
"87","MrsGillMC",172,"First Appearance",2
"88","MrsGillMC",173,"Last Appearance",2
"89","MrsHominyMC",202,"Last Appearance",5
"90","MrsHominyMC",138,"First Appearance",5
"91","MrsJinkinsMC",47,"First Appearance",19
"92","MrsJinkinsMC",310,"Last Appearance",19
"93","MrsLupinMC",14,"First Appearance",27
"94","MrsLupinMC",305,"Last Appearance",27
"95","MrsMouldMC",151,"First Appearance",4
"96","MrsMouldMC",175,"Last Appearance",4
"97","MrsNedChuzzMC",310,"Last Appearance",8
"98","MrsNedChuzzMC",1,"First Appearance",8
"99","MrsNorrisMC",107,"First Appearance",2
"100","MrsNorrisMC",108,"Last Appearance",2
"101","MrsPawkinsMC",101,"First Appearance",4
"102","MrsPawkinsMC",107,"Last Appearance",4
"103","MrsPrigMC",153,"First Appearance",15
"104","MrsPrigMC",292,"Last Appearance",15
"105","MrsTodgersMC",309,"Last Appearance",35
"106","MrsTodgersMC",48,"First Appearance",35
"107","MsCodgerMC",202,"First Appearance",1
"108","MsCodgerMC",202,"Last Appearance",1
"109","MsToppitMC",202,"First Appearance",1
"110","MsToppitMC",202,"Last Appearance",1
"111","NadgettMC",166,"First Appearance",19
"112","NadgettMC",296,"Last Appearance",19
"113","NorrisMC",107,"First Appearance",4
"114","NorrisMC",197,"Last Appearance",4
"115","PogramMC",203,"Last Appearance",5
"116","PogramMC",199,"First Appearance",5
"117","ProfMullitMC",102,"First Appearance",1
"118","ProfMullitMC",102,"Last Appearance",1
"119","ProfPiperMC",201,"First Appearance",1
"120","ProfPiperMC",201,"Last Appearance",1
"121","RuthPinchMC",50,"First Appearance",40
"122","RuthPinchMC",310,"Last Appearance",40
"123","ScadderMC",199,"Last Appearance",8
"124","ScadderMC",134,"First Appearance",8
"125","SethPeckMC",5,"First Appearance",131
"126","SethPeckMC",307,"Last Appearance",131
"127","SophiaMC",34,"First Appearance",1
"128","SophiaMC",34,"Last Appearance",1
"129","TackerMC",120,"First Appearance",3
"130","TackerMC",220,"Last Appearance",3
"131","TiggMontagueMC",299,"Last Appearance",46
"132","TiggMontagueMC",19,"First Appearance",46
"133","TomPinchMC",7,"First Appearance",130
"134","TomPinchMC",310,"Last Appearance",130
"135","WestlockMC",7,"First Appearance",61
"136","WestlockMC",306,"Last Appearance",61
"137","WlmSimmonsMC",82,"First Appearance",1
"138","WlmSimmonsMC",82,"Last Appearance",1
"139","YngBaileyMC",48,"First Appearance",27
"140","YngBaileyMC",307,"Last Appearance",27
