"","Character","Node","Type","Appearances"
"1","AgedGE",76,"First Appearance",12
"2","AgedGE",175,"Last Appearance",12
"3","AvengerGE",124,"Last Appearance",7
"4","AvengerGE",81,"First Appearance",7
"5","BentDrummGE",150,"Last Appearance",18
"6","BentDrummGE",31,"First Appearance",18
"7","BiddyGE",186,"Last Appearance",31
"8","BiddyGE",16,"First Appearance",31
"9","BlackGE",97,"First Appearance",1
"10","BlackGE",97,"Last Appearance",1
"11","BroSkiffinsGE",111,"Last Appearance",1
"12","BroSkiffinsGE",111,"First Appearance",1
"13","CamillaGE",179,"Last Appearance",7
"14","CamillaGE",30,"First Appearance",7
"15","ClaraGE",186,"Last Appearance",10
"16","ClaraGE",94,"First Appearance",10
"17","ClarrikerGE",185,"Last Appearance",3
"18","ClarrikerGE",112,"First Appearance",3
"19","CompeysonGE",174,"Last Appearance",19
"20","CompeysonGE",13,"First Appearance",19
"21","DunstableGE",9,"Last Appearance",1
"22","DunstableGE",9,"First Appearance",1
"23","EstellaGE",187,"Last Appearance",58
"24","EstellaGE",21,"First Appearance",58
"25","FlopsonGE",101,"Last Appearance",5
"26","FlopsonGE",68,"First Appearance",5
"27","GeorPocketGE",32,"First Appearance",5
"28","GeorPocketGE",183,"Last Appearance",5
"29","HerbPocketGE",186,"Last Appearance",72
"30","HerbPocketGE",33,"First Appearance",72
"31","JackGE",170,"Last Appearance",2
"32","JackGE",145,"First Appearance",2
"33","JaggersGE",176,"Last Appearance",43
"34","JaggersGE",51,"First Appearance",43
"35","JoeGarGE",1,"First Appearance",69
"36","JoeGarGE",186,"Last Appearance",69
"37","MagwitchGE",177,"Last Appearance",41
"38","MagwitchGE",1,"First Appearance",41
"39","MaryAnneGE",139,"Last Appearance",1
"40","MaryAnneGE",139,"First Appearance",1
"41","MikeGE",160,"Last Appearance",4
"42","MikeGE",60,"First Appearance",4
"43","MillersGE",101,"Last Appearance",6
"44","MillersGE",68,"First Appearance",6
"45","MissHavishamGE",180,"Last Appearance",53
"46","MissHavishamGE",18,"First Appearance",53
"47","MollyGE",149,"Last Appearance",2
"48","MollyGE",79,"First Appearance",2
"49","MrCamillaGE",75,"Last Appearance",4
"50","MrCamillaGE",30,"First Appearance",4
"51","MrHavishamGE",133,"Last Appearance",4
"52","MrHavishamGE",66,"First Appearance",4
"53","MrHubbGE",8,"First Appearance",6
"54","MrHubbGE",105,"Last Appearance",6
"55","MrPocketGE",179,"Last Appearance",20
"56","MrPocketGE",32,"First Appearance",20
"57","MrsBrandleyGE",117,"Last Appearance",2
"58","MrsBrandleyGE",114,"First Appearance",2
"59","MrsCoilerGE",71,"Last Appearance",2
"60","MrsCoilerGE",70,"First Appearance",2
"61","MrsHubbGE",8,"First Appearance",5
"62","MrsHubbGE",105,"Last Appearance",5
"63","MrsJoeGarGE",164,"Last Appearance",39
"64","MrsJoeGarGE",1,"First Appearance",39
"65","MrsPocketGE",102,"Last Appearance",8
"66","MrsPocketGE",68,"First Appearance",8
"67","OldBarleyGE",165,"Last Appearance",6
"68","OldBarleyGE",142,"First Appearance",6
"69","OrlickGE",179,"Last Appearance",15
"70","OrlickGE",42,"First Appearance",15
"71","PipGE",186,"Last Appearance",96
"72","PipGE",1,"First Appearance",96
"73","PumblechookGE",184,"Last Appearance",26
"74","PumblechookGE",8,"First Appearance",26
"75","SarPocketGE",179,"Last Appearance",9
"76","SarPocketGE",30,"First Appearance",9
"77","SatrtopGE",172,"Last Appearance",13
"78","SatrtopGE",70,"First Appearance",13
"79","SkiffinsGE",110,"First Appearance",5
"80","SkiffinsGE",174,"Last Appearance",5
"81","TrabbGE",105,"Last Appearance",5
"82","TrabbGE",56,"First Appearance",5
"83","WemmickGE",175,"Last Appearance",37
"84","WemmickGE",61,"First Appearance",37
"85","WilliamGE",183,"Last Appearance",1
"86","WilliamGE",183,"First Appearance",1
"87","WopsleGE",8,"First Appearance",22
"88","WopsleGE",146,"Last Appearance",22
