"","Character","Node","Appearances"
"1","AspasiaFitzgibPF",18,8
"2","AspasiaFitzgibPF",228,8
"3","AspasiaFitzgibPF",20,8
"4","AspasiaFitzgibPF",105,8
"5","AspasiaFitzgibPF",73,8
"6","AspasiaFitzgibPF",15,8
"7","AspasiaFitzgibPF",19,8
"8","AspasiaFitzgibPF",14,8
"9","AugustaBorehamPF",139,9
"10","AugustaBorehamPF",91,9
"11","AugustaBorehamPF",148,9
"12","AugustaBorehamPF",237,9
"13","AugustaBorehamPF",167,9
"14","AugustaBorehamPF",34,9
"15","AugustaBorehamPF",170,9
"16","AugustaBorehamPF",72,9
"17","AugustaBorehamPF",37,9
"18","BarringtonErlePF",1,44
"19","BarringtonErlePF",73,44
"20","BarringtonErlePF",226,44
"21","BarringtonErlePF",160,44
"22","BarringtonErlePF",9,44
"23","BarringtonErlePF",2,44
"24","BarringtonErlePF",222,44
"25","BarringtonErlePF",20,44
"26","BarringtonErlePF",127,44
"27","BarringtonErlePF",66,44
"28","BarringtonErlePF",31,44
"29","BarringtonErlePF",10,44
"30","BarringtonErlePF",3,44
"31","BarringtonErlePF",53,44
"32","BarringtonErlePF",123,44
"33","BarringtonErlePF",241,44
"34","BarringtonErlePF",6,44
"35","BarringtonErlePF",4,44
"36","BarringtonErlePF",128,44
"37","BarringtonErlePF",223,44
"38","BarringtonErlePF",124,44
"39","BarringtonErlePF",5,44
"40","BarringtonErlePF",39,44
"41","BarringtonErlePF",219,44
"42","BarringtonErlePF",161,44
"43","BarringtonErlePF",13,44
"44","BarringtonErlePF",28,44
"45","BarringtonErlePF",94,44
"46","BarringtonErlePF",134,44
"47","BarringtonErlePF",138,44
"48","BarringtonErlePF",207,44
"49","BarringtonErlePF",209,44
"50","BarringtonErlePF",40,44
"51","BarringtonErlePF",103,44
"52","BarringtonErlePF",76,44
"53","BarringtonErlePF",95,44
"54","BarringtonErlePF",14,44
"55","BarringtonErlePF",24,44
"56","BarringtonErlePF",19,44
"57","BarringtonErlePF",86,44
"58","BarringtonErlePF",126,44
"59","BarringtonErlePF",12,44
"60","BarringtonErlePF",182,44
"61","BarringtonErlePF",22,44
"62","DowagerHartletopPF",135,4
"63","DowagerHartletopPF",134,4
"64","DowagerHartletopPF",186,4
"65","DowagerHartletopPF",136,4
"66","DrMalFinnPF",7,10
"67","DrMalFinnPF",162,10
"68","DrMalFinnPF",118,10
"69","DrMalFinnPF",2,10
"70","DrMalFinnPF",1,10
"71","DrMalFinnPF",161,10
"72","DrMalFinnPF",103,10
"73","DrMalFinnPF",5,10
"74","DrMalFinnPF",220,10
"75","DrMalFinnPF",4,10
"76","DukeStBungayPF",28,7
"77","DukeStBungayPF",30,7
"78","DukeStBungayPF",90,7
"79","DukeStBungayPF",155,7
"80","DukeStBungayPF",156,7
"81","DukeStBungayPF",97,7
"82","DukeStBungayPF",14,7
"83","EarlBrentfordPF",90,96
"84","EarlBrentfordPF",45,96
"85","EarlBrentfordPF",35,96
"86","EarlBrentfordPF",42,96
"87","EarlBrentfordPF",170,96
"88","EarlBrentfordPF",2,96
"89","EarlBrentfordPF",115,96
"90","EarlBrentfordPF",133,96
"91","EarlBrentfordPF",60,96
"92","EarlBrentfordPF",181,96
"93","EarlBrentfordPF",31,96
"94","EarlBrentfordPF",26,96
